hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-07-21 15:26:55.100148,2376,142016000,0.0,-754,1,1,2,0,0,15,3
2025-07-21 15:26:56.099125,2376,142017000,0.0,-1421,1,1,2,0,0,15,3
2025-07-21 15:26:57.099153,2376,142018000,0.0,-2126,1,1,2,0,0,15,3
2025-07-21 15:26:58.095196,2376,142019000,0.0,-2416,1,1,2,0,0,15,3
2025-07-21 15:26:59.097274,2376,142020000,0.0,-2794,1,1,2,0,0,15,3
2025-07-21 15:27:00.086385,2376,142021000,0.0,-3282,1,1,2,0,0,15,3
2025-07-21 15:27:01.104414,2376,142022000,0.0,3648,1,1,2,0,0,15,3
2025-07-21 15:27:02.105472,2376,142023000,0.0,3335,1,1,2,0,0,15,3
2025-07-21 15:27:03.092425,2376,142024000,0.0,2468,1,1,2,0,0,15,3
2025-07-21 15:27:04.099442,2376,142025000,0.0,1650,1,1,2,0,0,15,3
2025-07-21 15:27:05.099458,2376,142026000,0.0,851,1,1,2,0,0,15,3
2025-07-21 15:27:06.094474,2376,142027000,0.0,258,1,1,2,0,0,15,3
2025-07-21 15:27:07.100482,2376,142028000,0.0,-115,1,1,2,0,0,15,3
2025-07-21 15:27:08.096511,2376,142029000,0.0,-1320,1,1,2,0,0,15,3
2025-07-21 15:27:09.095533,2376,142030000,0.0,-2016,1,1,2,0,0,15,3
2025-07-21 15:27:10.103594,2376,142031000,0.0,-2654,1,1,2,0,0,15,3
2025-07-21 15:27:11.095623,2376,142032000,0.0,-3225,1,1,2,0,0,15,3
2025-07-21 15:27:12.098712,2376,142033000,0.0,-3940,1,1,2,0,0,15,3
2025-07-21 15:27:13.094680,2376,142034000,0.0,3485,1,1,2,0,0,15,3
2025-07-21 15:27:14.099890,2376,142035000,0.0,3142,1,1,2,0,0,15,3
2025-07-21 15:27:15.093966,2376,142036000,0.0,2584,1,1,2,0,0,15,3
2025-07-21 15:27:16.099917,2376,142037000,0.0,2074,1,1,2,0,0,15,3
2025-07-21 15:27:17.097049,2376,142038000,0.0,1734,1,1,2,0,0,15,3
2025-07-21 15:27:18.089056,2376,142039000,0.0,902,1,1,2,0,0,15,3
2025-07-21 15:27:19.097976,2376,142040000,0.0,503,1,1,2,0,0,15,3
2025-07-21 15:27:20.095024,2376,142041000,0.0,24,1,1,2,0,0,15,3
2025-07-21 15:27:21.098075,2376,142042000,0.0,-621,1,1,2,0,0,15,3
2025-07-21 15:27:22.103057,2376,142043000,0.0,-1001,1,1,2,0,0,15,3
2025-07-21 15:27:23.102149,2376,142044000,0.0,-1701,1,1,2,0,0,15,3
2025-07-21 15:27:24.103075,2376,142045000,0.0,-2865,1,1,2,0,0,15,3
2025-07-21 15:27:25.092238,2376,142046000,0.0,-3080,1,1,2,0,0,15,3
2025-07-21 15:27:26.099250,2376,142047000,0.0,-3809,1,1,2,0,0,15,3
2025-07-21 15:27:27.087182,2376,142048000,0.0,3149,1,1,2,0,0,15,3
2025-07-21 15:27:28.105238,2376,142049000,0.0,2822,1,1,2,0,0,15,3
2025-07-21 15:27:29.105251,2376,142050000,0.0,2001,1,1,2,0,0,15,3
2025-07-21 15:27:30.104279,2376,142051000,0.0,1625,1,1,2,0,0,15,3
2025-07-21 15:27:31.094248,2376,142052000,0.0,824,1,1,2,0,0,15,3
2025-07-21 15:27:32.102278,2376,142053000,0.0,111,1,1,2,0,0,15,3
2025-07-21 15:27:33.095305,2376,142054000,0.0,-104,1,1,2,0,0,15,3
2025-07-21 15:27:34.096317,2376,142055000,0.0,-626,1,1,2,0,0,15,3
2025-07-21 15:27:35.101393,2376,142056000,0.0,-1177,1,1,2,0,0,15,3
2025-07-21 15:27:36.087387,2376,142057000,0.0,-1676,1,1,2,0,0,15,3
2025-07-21 15:27:37.096451,2376,142058000,0.0,-1915,1,1,2,0,0,15,3
2025-07-21 15:27:38.098517,2376,142059000,0.0,-1987,1,1,2,0,0,15,3
2025-07-21 15:27:39.096716,2376,142060000,0.0,-2258,1,1,2,0,0,15,3
2025-07-21 15:27:40.092730,2376,142061000,0.0,-2774,1,1,2,0,0,15,3
