ppsHostClock,ppsRefClock
2025-07-27 01:22:46.670905,16435.452471807427
2025-07-27 01:22:47.005834,16436.452471812197
2025-07-27 01:22:48.005875,16437.452471809465
2025-07-27 01:22:49.008806,16438.452471814351
2025-07-27 01:22:50.008878,16439.452471811464
2025-07-27 01:22:51.007947,16440.452471808506
2025-07-27 01:22:52.007020,16441.452471813385
2025-07-27 01:22:53.006260,16442.452471810377
2025-07-27 01:22:54.006102,16443.452471807311
2025-07-27 01:22:55.009051,16444.452471812020
2025-07-27 01:22:56.009091,16445.452471808899
2025-07-27 01:22:57.008179,16446.452471813901
2025-07-27 01:22:58.007307,16447.452471810940
2025-07-27 01:22:59.007334,16448.452471815816
2025-07-27 01:23:00.006347,16449.452471813152
2025-07-27 01:23:01.005400,16450.452471810262
2025-07-27 01:23:02.009321,16451.452471815545
2025-07-27 01:23:03.008402,16452.452471812820
2025-07-27 01:23:04.007640,16453.452471817856
2025-07-27 01:23:05.007561,16454.452471815027
2025-07-27 01:23:06.006602,16455.452471812358
2025-07-27 01:23:07.005711,16456.452471817470
2025-07-27 01:23:08.009534,16457.452471814734
2025-07-27 01:23:09.008620,16458.452471819906
2025-07-27 01:23:10.008695,16459.452471817178
2025-07-27 01:23:11.007773,16460.452471814404
2025-07-27 01:23:12.006838,16461.452471819563
2025-07-27 01:23:13.006112,16462.452471817071
2025-07-27 01:23:14.005936,16463.452471814571
2025-07-27 01:23:15.008902,16464.452471819676
2025-07-27 01:23:16.008899,16465.452471817069
2025-07-27 01:23:17.007983,16466.452471822352
2025-07-27 01:23:18.007142,16467.452471819850
2025-07-27 01:23:19.007078,16468.452471817299
2025-07-27 01:23:20.006130,16469.452471822402
2025-07-27 01:23:21.005221,16470.452471819734
2025-07-27 01:23:22.009124,16471.452471817125
2025-07-27 01:23:23.008196,16472.452471822520
2025-07-27 01:23:24.007461,16473.452471820071
2025-07-27 01:23:25.007349,16474.452471825065
2025-07-27 01:23:26.006433,16475.452471822567
2025-07-27 01:23:27.005513,16476.452471820024
2025-07-27 01:23:28.009339,16477.452471825293
2025-07-27 01:23:29.008414,16478.452471822737
2025-07-27 01:23:30.008484,16479.452471828008
2025-07-27 01:23:31.007583,16480.452471825462
2025-07-27 01:23:32.006664,16481.452471822804
2025-07-27 01:23:33.006673,16482.452471828021
2025-07-27 01:23:34.005705,16483.452471825577
2025-07-27 01:23:35.008731,16484.452471822795
2025-07-27 01:23:36.008707,16485.452471828016
2025-07-27 01:23:37.007778,16486.452471825354
2025-07-27 01:23:38.006955,16487.452471822684
2025-07-27 01:23:39.006895,16488.452471828015
2025-07-27 01:23:40.005977,16489.452471825301
2025-07-27 01:23:41.009067,16490.452471822627
2025-07-27 01:23:42.008928,16491.452471827908
2025-07-27 01:23:43.008000,16492.452471825405
2025-07-27 01:23:44.008078,16493.452471822632
2025-07-27 01:23:45.007147,16494.452471827792
2025-07-27 01:23:46.006178,16495.452471825227
2025-07-27 01:23:47.005370,16496.452471822345
