hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-07-30 02:30:11.029600,2377,268212000,0.0,1515,1,1,2,0,0,15,3
2025-07-30 02:30:12.028640,2377,268213000,0.0,1771,1,1,2,0,0,15,3
2025-07-30 02:30:13.028685,2377,268214000,0.0,1895,1,1,2,0,0,15,3
2025-07-30 02:30:14.028709,2377,268215000,0.0,2109,1,1,2,0,0,15,3
2025-07-30 02:30:15.028727,2377,268216000,0.0,2431,1,1,2,0,0,15,3
2025-07-30 02:30:16.028822,2377,268217000,0.0,2616,1,1,2,0,0,15,3
2025-07-30 02:30:17.028867,2377,268218000,0.0,2841,1,1,2,0,0,15,3
2025-07-30 02:30:18.028903,2377,268219000,0.0,3177,1,1,2,0,0,15,3
2025-07-30 02:30:19.027945,2377,268220000,0.0,3429,1,1,2,0,0,15,3
2025-07-30 02:30:20.028988,2377,268221000,0.0,3480,1,1,2,0,0,15,3
2025-07-30 02:30:21.029017,2377,268222000,0.0,3688,1,1,2,0,0,15,3
2025-07-30 02:30:22.028234,2377,268223000,0.0,3626,1,1,2,0,0,15,3
2025-07-30 02:30:23.029095,2377,268224000,0.0,-3750,1,1,2,0,0,15,3
2025-07-30 02:30:24.028134,2377,268225000,0.0,-3433,1,1,2,0,0,15,3
2025-07-30 02:30:25.029245,2377,268226000,0.0,-3232,1,1,2,0,0,15,3
2025-07-30 02:30:26.028224,2377,268227000,0.0,-2953,1,1,2,0,0,15,3
2025-07-30 02:30:27.029261,2377,268228000,0.0,-2718,1,1,2,0,0,15,3
2025-07-30 02:30:28.028309,2377,268229000,0.0,-2546,1,1,2,0,0,15,3
2025-07-30 02:30:29.029333,2377,268230000,0.0,-2321,1,1,2,0,0,15,3
2025-07-30 02:30:30.028379,2377,268231000,0.0,-2015,1,1,2,0,0,15,3
2025-07-30 02:30:31.029456,2377,268232000,0.0,-1727,1,1,2,0,0,15,3
2025-07-30 02:30:32.028634,2377,268233000,0.0,-1558,1,1,2,0,0,15,3
2025-07-30 02:30:33.028549,2377,268234000,0.0,-991,1,1,2,0,0,15,3
2025-07-30 02:30:34.028520,2377,268235000,0.0,-449,1,1,2,0,0,15,3
2025-07-30 02:30:35.029601,2377,268236000,0.0,-388,1,1,2,0,0,15,3
2025-07-30 02:30:36.028598,2377,268237000,0.0,183,1,1,2,0,0,15,3
2025-07-30 02:30:37.028638,2377,268238000,0.0,322,1,1,2,0,0,15,3
2025-07-30 02:30:38.028838,2377,268239000,0.0,991,1,1,2,0,0,15,3
2025-07-30 02:30:39.028760,2377,268240000,0.0,1150,1,1,2,0,0,15,3
2025-07-30 02:30:40.027761,2377,268241000,0.0,1617,1,1,2,0,0,15,3
2025-07-30 02:30:41.028799,2377,268242000,0.0,2163,1,1,2,0,0,15,3
2025-07-30 02:30:42.029843,2377,268243000,0.0,2253,1,1,2,0,0,15,3
2025-07-30 02:30:43.028879,2377,268244000,0.0,2871,1,1,2,0,0,15,3
2025-07-30 02:30:44.028908,2377,268245000,0.0,3033,1,1,2,0,0,15,3
2025-07-30 02:30:45.028938,2377,268246000,0.0,3617,1,1,2,0,0,15,3
2025-07-30 02:30:46.027977,2377,268247000,0.0,3703,1,1,2,0,0,15,3
2025-07-30 02:30:47.029020,2377,268248000,0.0,-3498,1,1,2,0,0,15,3
2025-07-30 02:30:48.028118,2377,268249000,0.0,-3429,1,1,2,0,0,15,3
2025-07-30 02:30:49.029106,2377,268250000,0.0,-3213,1,1,2,0,0,15,3
2025-07-30 02:30:50.028149,2377,268251000,0.0,-2879,1,1,2,0,0,15,3
2025-07-30 02:30:51.028178,2377,268252000,0.0,-2590,1,1,2,0,0,15,3
2025-07-30 02:30:52.028226,2377,268253000,0.0,-2057,1,1,2,0,0,15,3
2025-07-30 02:30:53.029265,2377,268254000,0.0,-1984,1,1,2,0,0,15,3
2025-07-30 02:30:54.028289,2377,268255000,0.0,-1836,1,1,2,0,0,15,3
2025-07-30 02:30:55.028326,2377,268256000,0.0,-1631,1,1,2,0,0,15,3
2025-07-30 02:30:56.029366,2377,268257000,0.0,-1336,1,1,2,0,0,15,3
2025-07-30 02:30:57.028403,2377,268258000,0.0,-1115,1,1,2,0,0,15,3
2025-07-30 02:30:58.028611,2377,268259000,0.0,-1235,1,1,2,0,0,15,3
2025-07-30 02:30:59.028553,2377,268260000,0.0,-911,1,1,2,0,0,15,3
2025-07-30 02:31:00.028523,2377,268261000,0.0,-709,1,1,2,0,0,15,3
2025-07-30 02:31:01.028612,2377,268262000,0.0,-392,1,1,2,0,0,15,3
2025-07-30 02:31:02.028647,2377,268263000,0.0,-503,1,1,2,0,0,15,3
2025-07-30 02:31:03.028643,2377,268264000,0.0,-233,1,1,2,0,0,15,3
2025-07-30 02:31:04.027725,2377,268265000,0.0,21,1,1,2,0,0,15,3
2025-07-30 02:31:05.028790,2377,268266000,0.0,296,1,1,2,0,0,15,3
2025-07-30 02:31:06.028753,2377,268267000,0.0,534,1,1,2,0,0,15,3
2025-07-30 02:31:07.028789,2377,268268000,0.0,724,1,1,2,0,0,15,3
2025-07-30 02:31:08.028828,2377,268269000,0.0,1061,1,1,2,0,0,15,3
2025-07-30 02:31:09.027989,2377,268270000,0.0,1386,1,1,2,0,0,15,3
2025-07-30 02:31:10.028907,2377,268271000,0.0,1513,1,1,2,0,0,15,3
2025-07-30 02:31:11.028939,2377,268272000,0.0,1709,1,1,2,0,0,15,3
2025-07-30 02:31:12.028017,2377,268273000,0.0,1973,1,1,2,0,0,15,3
2025-07-30 02:31:13.028042,2377,268274000,0.0,1870,1,1,2,0,0,15,3
2025-07-30 02:31:14.029061,2377,268275000,0.0,2228,1,1,2,0,0,15,3
2025-07-30 02:31:15.028213,2377,268276000,0.0,2455,1,1,2,0,0,15,3
2025-07-30 02:31:16.028175,2377,268277000,0.0,2682,1,1,2,0,0,15,3
2025-07-30 02:31:17.028173,2377,268278000,0.0,3346,1,1,2,0,0,15,3
2025-07-30 02:31:18.027216,2377,268279000,0.0,3039,1,1,2,0,0,15,3
2025-07-30 02:31:19.028247,2377,268280000,0.0,3298,1,1,2,0,0,15,3
2025-07-30 02:31:20.028302,2377,268281000,0.0,3234,1,1,2,0,0,15,3
2025-07-30 02:31:21.028329,2377,268282000,0.0,3237,1,1,2,0,0,15,3
2025-07-30 02:31:22.028417,2377,268283000,0.0,3592,1,1,2,0,0,15,3
2025-07-30 02:31:23.029466,2377,268284000,0.0,-3925,1,1,2,0,0,15,3
2025-07-30 02:31:24.027679,2377,268285000,0.0,-3731,1,1,2,0,0,15,3
2025-07-30 02:31:25.028534,2377,268286000,0.0,-3506,1,1,2,0,0,15,3
2025-07-30 02:31:26.029585,2377,268287000,0.0,-2868,1,1,2,0,0,15,3
2025-07-30 02:31:27.028570,2377,268288000,0.0,-3132,1,1,2,0,0,15,3
2025-07-30 02:31:28.028601,2377,268289000,0.0,-2763,1,1,2,0,0,15,3
2025-07-30 02:31:29.028675,2377,268290000,0.0,-2111,1,1,2,0,0,15,3
2025-07-30 02:31:30.028701,2377,268291000,0.0,-2034,1,1,2,0,0,15,3
2025-07-30 02:31:31.027714,2377,268292000,0.0,-1836,1,1,2,0,0,15,3
2025-07-30 02:31:32.028799,2377,268293000,0.0,-2001,1,1,2,0,0,15,3
2025-07-30 02:31:33.027866,2377,268294000,0.0,-1624,1,1,2,0,0,15,3
2025-07-30 02:31:34.027915,2377,268295000,0.0,-1352,1,1,2,0,0,15,3
2025-07-30 02:31:35.027945,2377,268296000,0.0,-1169,1,1,2,0,0,15,3
2025-07-30 02:31:36.028873,2377,268297000,0.0,-900,1,1,2,0,0,15,3
2025-07-30 02:31:37.027944,2377,268298000,0.0,-574,1,1,2,0,0,15,3
2025-07-30 02:31:38.028979,2377,268299000,0.0,-680,1,1,2,0,0,15,3
2025-07-30 02:31:39.028021,2377,268300000,0.0,-775,1,1,2,0,0,15,3
2025-07-30 02:31:40.027061,2377,268301000,0.0,-398,1,1,2,0,0,15,3
2025-07-30 02:31:41.028109,2377,268302000,0.0,-70,1,1,2,0,0,15,3
2025-07-30 02:31:42.027135,2377,268303000,0.0,-266,1,1,2,0,0,15,3
2025-07-30 02:31:43.028172,2377,268304000,0.0,22,1,1,2,0,0,15,3
2025-07-30 02:31:44.028212,2377,268305000,0.0,366,1,1,2,0,0,15,3
2025-07-30 02:31:45.029263,2377,268306000,0.0,741,1,1,2,0,0,15,3
2025-07-30 02:31:46.027295,2377,268307000,0.0,909,1,1,2,0,0,15,3
2025-07-30 02:31:47.029328,2377,268308000,0.0,1351,1,1,2,0,0,15,3
2025-07-30 02:31:48.027366,2377,268309000,0.0,1592,1,1,2,0,0,15,3
2025-07-30 02:31:49.028481,2377,268310000,0.0,1393,1,1,2,0,0,15,3
2025-07-30 02:31:50.028516,2377,268311000,0.0,1739,1,1,2,0,0,15,3
2025-07-30 02:31:51.027577,2377,268312000,0.0,2011,1,1,2,0,0,15,3
2025-07-30 02:31:52.027605,2377,268313000,0.0,2184,1,1,2,0,0,15,3
2025-07-30 02:31:53.028565,2377,268314000,0.0,2371,1,1,2,0,0,15,3
2025-07-30 02:31:54.028606,2377,268315000,0.0,2655,1,1,2,0,0,15,3
2025-07-30 02:31:55.029635,2377,268316000,0.0,2999,1,1,2,0,0,15,3
2025-07-30 02:31:56.027869,2377,268317000,0.0,3247,1,1,2,0,0,15,3
2025-07-30 02:31:57.027723,2377,268318000,0.0,3035,1,1,2,0,0,15,3
2025-07-30 02:31:58.026807,2377,268319000,0.0,2964,1,1,2,0,0,15,3
2025-07-30 02:31:59.027901,2377,268320000,0.0,3315,1,1,2,0,0,15,3
2025-07-30 02:32:00.028837,2377,268321000,0.0,3312,1,1,2,0,0,15,3
2025-07-30 02:32:01.027935,2377,268322000,0.0,3627,1,1,2,0,0,15,3
2025-07-30 02:32:02.027924,2377,268323000,0.0,-4007,1,1,2,0,0,15,3
2025-07-30 02:32:03.027961,2377,268324000,0.0,-3704,1,1,2,0,0,15,3
2025-07-30 02:32:04.028109,2377,268325000,0.0,-3796,1,1,2,0,0,15,3
2025-07-30 02:32:05.028171,2377,268326000,0.0,-3038,1,1,2,0,0,15,3
2025-07-30 02:32:06.028096,2377,268327000,0.0,-2817,1,1,2,0,0,15,3
2025-07-30 02:32:07.027290,2377,268328000,0.0,-2641,1,1,2,0,0,15,3
2025-07-30 02:32:08.029143,2377,268329000,0.0,-2875,1,1,2,0,0,15,3
2025-07-30 02:32:09.028189,2377,268330000,0.0,-2498,1,1,2,0,0,15,3
2025-07-30 02:32:10.027238,2377,268331000,0.0,-1764,1,1,2,0,0,15,3
2025-07-30 02:32:11.028263,2377,268332000,0.0,-1616,1,1,2,0,0,15,3
2025-07-30 02:32:12.028299,2377,268333000,0.0,-1106,1,1,2,0,0,15,3
2025-07-30 02:32:13.028382,2377,268334000,0.0,-1437,1,1,2,0,0,15,3
2025-07-30 02:32:14.028580,2377,268335000,0.0,-1162,1,1,2,0,0,15,3
2025-07-30 02:32:15.028515,2377,268336000,0.0,-918,1,1,2,0,0,15,3
2025-07-30 02:32:16.026690,2377,268337000,0.0,-1040,1,1,2,0,0,15,3
2025-07-30 02:32:17.029525,2377,268338000,0.0,-675,1,1,2,0,0,15,3
2025-07-30 02:32:18.028574,2377,268339000,0.0,-470,1,1,2,0,0,15,3
2025-07-30 02:32:19.028630,2377,268340000,0.0,-198,1,1,2,0,0,15,3
2025-07-30 02:32:20.027624,2377,268341000,0.0,153,1,1,2,0,0,15,3
2025-07-30 02:32:21.027682,2377,268342000,0.0,487,1,1,2,0,0,15,3
2025-07-30 02:32:22.027691,2377,268343000,0.0,717,1,1,2,0,0,15,3
2025-07-30 02:32:23.028729,2377,268344000,0.0,1308,1,1,2,0,0,15,3
2025-07-30 02:32:24.027874,2377,268345000,0.0,1412,1,1,2,0,0,15,3
2025-07-30 02:32:25.026804,2377,268346000,0.0,1598,1,1,2,0,0,15,3
2025-07-30 02:32:26.027924,2377,268347000,0.0,1341,1,1,2,0,0,15,3
2025-07-30 02:32:27.027945,2377,268348000,0.0,1720,1,1,2,0,0,15,3
2025-07-30 02:32:28.026977,2377,268349000,0.0,2090,1,1,2,0,0,15,3
2025-07-30 02:32:29.027984,2377,268350000,0.0,2816,1,1,2,0,0,15,3
2025-07-30 02:32:30.027019,2377,268351000,0.0,2856,1,1,2,0,0,15,3
2025-07-30 02:32:31.028055,2377,268352000,0.0,3390,1,1,2,0,0,15,3
2025-07-30 02:32:32.028087,2377,268353000,0.0,-3906,1,1,2,0,0,15,3
2025-07-30 02:32:33.029130,2377,268354000,0.0,-3482,1,1,2,0,0,15,3
2025-07-30 02:32:34.027204,2377,268355000,0.0,-3038,1,1,2,0,0,15,3
2025-07-30 02:32:35.029196,2377,268356000,0.0,-2938,1,1,2,0,0,15,3
2025-07-30 02:32:36.027241,2377,268357000,0.0,-2749,1,1,2,0,0,15,3
2025-07-30 02:32:37.029295,2377,268358000,0.0,-2511,1,1,2,0,0,15,3
2025-07-30 02:32:38.028319,2377,268359000,0.0,-2274,1,1,2,0,0,15,3
2025-07-30 02:32:39.027526,2377,268360000,0.0,-1586,1,1,2,0,0,15,3
2025-07-30 02:32:40.028441,2377,268361000,0.0,-1410,1,1,2,0,0,15,3
2025-07-30 02:32:41.029451,2377,268362000,0.0,-1226,1,1,2,0,0,15,3
2025-07-30 02:32:42.027512,2377,268363000,0.0,-983,1,1,2,0,0,15,3
2025-07-30 02:32:43.027512,2377,268364000,0.0,-319,1,1,2,0,0,15,3
2025-07-30 02:32:44.028559,2377,268365000,0.0,153,1,1,2,0,0,15,3
2025-07-30 02:32:45.027779,2377,268366000,0.0,99,1,1,2,0,0,15,3
2025-07-30 02:32:46.026841,2377,268367000,0.0,310,1,1,2,0,0,15,3
2025-07-30 02:32:47.027711,2377,268368000,0.0,633,1,1,2,0,0,15,3
2025-07-30 02:32:48.028712,2377,268369000,0.0,1348,1,1,2,0,0,15,3
2025-07-30 02:32:49.028748,2377,268370000,0.0,1827,1,1,2,0,0,15,3
2025-07-30 02:32:50.028904,2377,268371000,0.0,2280,1,1,2,0,0,15,3
2025-07-30 02:32:51.026905,2377,268372000,0.0,2776,1,1,2,0,0,15,3
2025-07-30 02:32:52.027863,2377,268373000,0.0,3195,1,1,2,0,0,15,3
