ppsHostClock,ppsRefClock
2025-07-30 12:14:00.628333,314709.452471824719
2025-07-30 12:14:01.011940,314710.452471825612
2025-07-30 12:14:02.011002,314711.452471826651
2025-07-30 12:14:03.010972,314712.452471827504
2025-07-30 12:14:04.013899,314713.452471828405
2025-07-30 12:14:05.013198,314714.452471829193
2025-07-30 12:14:06.013038,314715.452471830385
2025-07-30 12:14:07.012126,314716.452471831189
2025-07-30 12:14:08.011421,314717.452471824428
2025-07-30 12:14:09.011229,314718.452471825166
2025-07-30 12:14:10.010273,314719.452471826077
2025-07-30 12:14:11.014200,314720.452471826973
2025-07-30 12:14:12.013276,314721.452471827849
2025-07-30 12:14:13.012361,314722.452471828744
2025-07-30 12:14:14.012439,314723.452471829418
2025-07-30 12:14:15.011490,314724.452471830105
2025-07-30 12:14:16.010514,314725.452471831077
2025-07-30 12:14:17.009778,314726.452471824260
2025-07-30 12:14:18.013501,314727.452471825172
2025-07-30 12:14:19.012707,314728.452471826133
2025-07-30 12:14:20.012654,314729.452471826861
2025-07-30 12:14:21.011747,314730.452471827609
2025-07-30 12:14:22.010848,314731.452471828349
2025-07-30 12:14:23.010799,314732.452471829145
2025-07-30 12:14:24.013731,314733.452471829766
2025-07-30 12:14:25.013808,314734.452471830667
2025-07-30 12:14:26.012888,314735.452471831333
2025-07-30 12:14:27.011963,314736.452471824261
2025-07-30 12:14:28.012022,314737.452471824997
2025-07-30 12:14:29.011055,314738.452471825918
2025-07-30 12:14:30.010105,314739.452471826584
2025-07-30 12:14:31.014038,314740.452471827150
2025-07-30 12:14:32.013114,314741.452471828004
2025-07-30 12:14:33.012233,314742.452471828913
2025-07-30 12:14:34.012299,314743.452471829592
2025-07-30 12:14:35.011317,314744.452471830336
2025-07-30 12:14:36.010362,314745.452471823404
2025-07-30 12:14:37.014260,314746.452471824102
2025-07-30 12:14:38.013341,314747.452471824877
2025-07-30 12:14:39.012570,314748.452471825678
2025-07-30 12:14:40.012499,314749.452471826701
2025-07-30 12:14:41.011563,314750.452471827490
2025-07-30 12:14:42.010723,314751.452471828337
2025-07-30 12:14:43.010627,314752.452471829143
2025-07-30 12:14:44.013560,314753.452471830113
2025-07-30 12:14:45.013648,314754.452471823069
2025-07-30 12:14:46.012723,314755.452471823935
2025-07-30 12:14:47.011811,314756.452471824776
2025-07-30 12:14:48.011838,314757.452471825552
2025-07-30 12:14:49.010876,314758.452471826525
2025-07-30 12:14:50.009933,314759.452471827310
2025-07-30 12:14:51.013871,314760.452471828116
2025-07-30 12:14:52.012943,314761.452471828855
2025-07-30 12:14:53.012089,314762.452471829538
2025-07-30 12:14:54.012137,314763.452471830331
2025-07-30 12:14:55.011150,314764.452471823288
2025-07-30 12:14:56.010194,314765.452471824036
2025-07-30 12:14:57.014111,314766.452471824712
2025-07-30 12:14:58.013197,314767.452471825399
2025-07-30 12:14:59.012436,314768.452471826249
2025-07-30 12:15:00.012376,314769.452471826814
2025-07-30 12:15:01.011442,314770.452471827386
2025-07-30 12:15:02.010532,314771.452471828065
2025-07-30 12:15:03.010502,314772.452471828846
2025-07-30 12:15:04.013408,314773.452471829586
2025-07-30 12:15:05.013482,314774.452471822549
2025-07-30 12:15:06.012570,314775.452471823409
2025-07-30 12:15:07.011687,314776.452471824094
2025-07-30 12:15:08.011727,314777.452471824892
2025-07-30 12:15:09.010733,314778.452471825625
2025-07-30 12:15:10.013717,314779.452471826484
2025-07-30 12:15:11.013710,314780.452471827261
2025-07-30 12:15:12.012794,314781.452471827825
2025-07-30 12:15:13.011956,314782.452471828451
2025-07-30 12:15:14.011945,314783.452471829072
2025-07-30 12:15:15.010969,314784.452471829818
2025-07-30 12:15:16.010015,314785.452471822841
2025-07-30 12:15:17.013936,314786.452471823481
2025-07-30 12:15:18.013010,314787.452471824203
2025-07-30 12:15:19.012308,314788.452471824829
2025-07-30 12:15:20.012183,314789.452471825339
2025-07-30 12:15:21.011225,314790.452471826006
2025-07-30 12:15:22.010388,314791.452471826632
2025-07-30 12:15:23.014169,314792.452471827262
2025-07-30 12:15:24.013240,314793.452471827831
2025-07-30 12:15:25.013327,314794.452471828580
2025-07-30 12:15:26.012399,314795.452471829257
2025-07-30 12:15:27.011521,314796.452471829934
2025-07-30 12:15:28.011558,314797.452471822741
2025-07-30 12:15:29.010560,314798.452471823579
2025-07-30 12:15:30.013579,314799.452471824256
2025-07-30 12:15:31.013556,314800.452471824944
2025-07-30 12:15:32.012630,314801.452471825511
2025-07-30 12:15:33.011856,314802.452471826138
2025-07-30 12:15:34.011771,314803.452471826755
2025-07-30 12:15:35.010803,314804.452471827269
