ppsHostClock,ppsRefClock
2025-07-30 23:42:28.009667,356017.452471809204
2025-07-30 23:42:29.008665,356018.452471811083
2025-07-30 23:42:30.012569,356019.452471812950
2025-07-30 23:42:31.011648,356020.452471806702
2025-07-30 23:42:32.010937,356021.452471808411
2025-07-30 23:42:33.010807,356022.452471809949
2025-07-30 23:42:34.009875,356023.452471811707
2025-07-30 23:42:35.009047,356024.452471813404
2025-07-30 23:42:36.008941,356025.452471807101
2025-07-30 23:42:37.011874,356026.452471808804
2025-07-30 23:42:38.011946,356027.452471810285
2025-07-30 23:42:39.011026,356028.452471811703
2025-07-30 23:42:40.010114,356029.452471813304
2025-07-30 23:42:41.010153,356030.452471806992
2025-07-30 23:42:42.009205,356031.452471808750
2025-07-30 23:42:43.008223,356032.452471810056
2025-07-30 23:42:44.012169,356033.452471811419
2025-07-30 23:42:45.011243,356034.452471813307
2025-07-30 23:42:46.010464,356035.452471807222
2025-07-30 23:42:47.010405,356036.452471808978
2025-07-30 23:42:48.009466,356037.452471810511
2025-07-30 23:42:49.008505,356038.452471811878
2025-07-30 23:42:50.012393,356039.452471813747
2025-07-30 23:42:51.011475,356040.452471807275
2025-07-30 23:42:52.011543,356041.452471808748
2025-07-30 23:42:53.010660,356042.452471810062
2025-07-30 23:42:54.009680,356043.452471811477
2025-07-30 23:42:55.008903,356044.452471812894
2025-07-30 23:42:56.008746,356045.452471806646
2025-07-30 23:42:57.011733,356046.452471807841
2025-07-30 23:42:58.011764,356047.452471809376
2025-07-30 23:42:59.010837,356048.452471810799
2025-07-30 23:43:00.009953,356049.452471812048
2025-07-30 23:43:01.009999,356050.452471813471
2025-07-30 23:43:02.009000,356051.452471807219
2025-07-30 23:43:03.012062,356052.452471808805
2025-07-30 23:43:04.011989,356053.452471810169
2025-07-30 23:43:05.011069,356054.452471811537
2025-07-30 23:43:06.010301,356055.452471813004
2025-07-30 23:43:07.010213,356056.452471813976
2025-07-30 23:43:08.009256,356057.452471807669
2025-07-30 23:43:09.008335,356058.452471808865
2025-07-30 23:43:10.012206,356059.452471810396
2025-07-30 23:43:11.011282,356060.452471811981
2025-07-30 23:43:12.011360,356061.452471813573
2025-07-30 23:43:13.010452,356062.452471807216
2025-07-30 23:43:14.009487,356063.452471808522
2025-07-30 23:43:15.008741,356064.452471810225
2025-07-30 23:43:16.012423,356065.452471811876
2025-07-30 23:43:17.011569,356066.452471813115
2025-07-30 23:43:18.011582,356067.452471806647
2025-07-30 23:43:19.010658,356068.452471808238
2025-07-30 23:43:20.009773,356069.452471809544
2025-07-30 23:43:21.009753,356070.452471810794
2025-07-30 23:43:22.008789,356071.452471812043
2025-07-30 23:43:23.011925,356072.452471813807
2025-07-30 23:43:24.011801,356073.452471807504
2025-07-30 23:43:25.010877,356074.452471808754
2025-07-30 23:43:26.010172,356075.452471810400
2025-07-30 23:43:27.010010,356076.452471811985
2025-07-30 23:43:28.009064,356077.452471813065
2025-07-30 23:43:29.008164,356078.452471807216
2025-07-30 23:43:30.012019,356079.452471808521
2025-07-30 23:43:31.011094,356080.452471809938
2025-07-30 23:43:32.011173,356081.452471811590
2025-07-30 23:43:33.010240,356082.452471813072
2025-07-30 23:43:34.009302,356083.452471806479
2025-07-30 23:43:35.009316,356084.452471808008
2025-07-30 23:43:36.012242,356085.452471809377
2025-07-30 23:43:37.011435,356086.452471810903
2025-07-30 23:43:38.011387,356087.452471812385
2025-07-30 23:43:39.010496,356088.452471813698
2025-07-30 23:43:40.009606,356089.452471807386
2025-07-30 23:43:41.009556,356090.452471808577
2025-07-30 23:43:42.008593,356091.452471810059
2025-07-30 23:43:43.012535,356092.452471810965
2025-07-30 23:43:44.011619,356093.452471812727
2025-07-30 23:43:45.010694,356094.452471813973
2025-07-30 23:43:46.010769,356095.452471807216
2025-07-30 23:43:47.009814,356096.452471808466
2025-07-30 23:43:48.008837,356097.452471809883
2025-07-30 23:43:49.012757,356098.452471811136
2025-07-30 23:43:50.011836,356099.452471812391
2025-07-30 23:43:51.010946,356100.452471813521
2025-07-30 23:43:52.010985,356101.452471806876
2025-07-30 23:43:53.010052,356102.452471808063
2025-07-30 23:43:54.009110,356103.452471809260
2025-07-30 23:43:55.009120,356104.452471810462
2025-07-30 23:43:56.012055,356105.452471811817
2025-07-30 23:43:57.011300,356106.452471813235
2025-07-30 23:43:58.011217,356107.452471806874
2025-07-30 23:43:59.010307,356108.452471808123
2025-07-30 23:44:00.009441,356109.452471809608
2025-07-30 23:44:01.009405,356110.452471810854
2025-07-30 23:44:02.008406,356111.452471812161
2025-07-30 23:44:03.012354,356112.452471813414
2025-07-30 23:44:04.011512,356113.452471806987
2025-07-30 23:44:05.010509,356114.452471808181
2025-07-30 23:44:06.010585,356115.452471809484
2025-07-30 23:44:07.009624,356116.452471810964
2025-07-30 23:44:08.008644,356117.452471812614
2025-07-30 23:44:09.012576,356118.452471813863
2025-07-30 23:44:10.011662,356119.452471807384
2025-07-30 23:44:11.010816,356120.452471808972
2025-07-30 23:44:12.010839,356121.452471810339
2025-07-30 23:44:13.009874,356122.452471811995
2025-07-30 23:44:14.008922,356123.452471813238
2025-07-30 23:44:15.008922,356124.452471807099
2025-07-30 23:44:16.011867,356125.452471808695
2025-07-30 23:44:17.011163,356126.452471810169
2025-07-30 23:44:18.011033,356127.452471811591
2025-07-30 23:44:19.010124,356128.452471813291
2025-07-30 23:44:20.009312,356129.452471806928
2025-07-30 23:44:21.009188,356130.452471808351
2025-07-30 23:44:22.012091,356131.452471809717
2025-07-30 23:44:23.012170,356132.452471811133
2025-07-30 23:44:24.011251,356133.452471812736
2025-07-30 23:44:25.010321,356134.452471814261
2025-07-30 23:44:26.010380,356135.452471807950
2025-07-30 23:44:27.009427,356136.452471809146
2025-07-30 23:44:28.008453,356137.452471810736
2025-07-30 23:44:29.012397,356138.452471812384
2025-07-30 23:44:30.011463,356139.452471813699
2025-07-30 23:44:31.010665,356140.452471807554
2025-07-30 23:44:32.010627,356141.452471808973
2025-07-30 23:44:33.009661,356142.452471810626
2025-07-30 23:44:34.008735,356143.452471811874
2025-07-30 23:44:35.012616,356144.452471813354
2025-07-30 23:44:36.011691,356145.452471807272
2025-07-30 23:44:37.011767,356146.452471808866
2025-07-30 23:44:38.010843,356147.452471810170
2025-07-30 23:44:39.009915,356148.452471811927
2025-07-30 23:44:40.009116,356149.452471813124
2025-07-30 23:44:41.008974,356150.452471807041
2025-07-30 23:44:42.011942,356151.452471808638
2025-07-30 23:44:43.011989,356152.452471809946
2025-07-30 23:44:44.011067,356153.452471811533
2025-07-30 23:44:45.010190,356154.452471812957
2025-07-30 23:44:46.010188,356155.452471814030
2025-07-30 23:44:47.009254,356156.452471807952
2025-07-30 23:44:48.008312,356157.452471809715
2025-07-30 23:44:49.012220,356158.452471811075
2025-07-30 23:44:50.011297,356159.452471812563
2025-07-30 23:44:51.010520,356160.452471813695
2025-07-30 23:44:52.010503,356161.452471807439
2025-07-30 23:44:53.009518,356162.452471809428
2025-07-30 23:44:54.008588,356163.452471810905
2025-07-30 23:44:55.012444,356164.452471812546
2025-07-30 23:44:56.011530,356165.452471806248
2025-07-30 23:44:57.011594,356166.452471807839
2025-07-30 23:44:58.010671,356167.452471809310
2025-07-30 23:44:59.009766,356168.452471810732
2025-07-30 23:45:00.009005,356169.452471812439
2025-07-30 23:45:01.008852,356170.452471813687
2025-07-30 23:45:02.011796,356171.452471807726
2025-07-30 23:45:03.011815,356172.452471809088
2025-07-30 23:45:04.010887,356173.452471810622
2025-07-30 23:45:05.010052,356174.452471812153
2025-07-30 23:45:06.010024,356175.452471813580
2025-07-30 23:45:07.009052,356176.452471806989
2025-07-30 23:45:08.012142,356177.452471808348
2025-07-30 23:45:09.012028,356178.452471809771
2025-07-30 23:45:10.011108,356179.452471811076
2025-07-30 23:45:11.010376,356180.452471812211
2025-07-30 23:45:12.010259,356181.452471813461
2025-07-30 23:45:13.009320,356182.452471807326
2025-07-30 23:45:14.008413,356183.452471808691
2025-07-30 23:45:15.012251,356184.452471810056
2025-07-30 23:45:16.011333,356185.452471811649
2025-07-30 23:45:17.011408,356186.452471813127
2025-07-30 23:45:18.010510,356187.452471807273
2025-07-30 23:45:19.009543,356188.452471809034
2025-07-30 23:45:20.009586,356189.452471810796
2025-07-30 23:45:21.008620,356190.452471812549
2025-07-30 23:45:22.011651,356191.452471806701
2025-07-30 23:45:23.011623,356192.452471808298
2025-07-30 23:45:24.010703,356193.452471809771
2025-07-30 23:45:25.009874,356194.452471811416
2025-07-30 23:45:26.009828,356195.452471813350
2025-07-30 23:45:27.008860,356196.452471807270
2025-07-30 23:45:28.012772,356197.452471809317
2025-07-30 23:45:29.011848,356198.452471810916
2025-07-30 23:45:30.010919,356199.452471812835
2025-07-30 23:45:31.011026,356200.452471807160
2025-07-30 23:45:32.010107,356201.452471809030
2025-07-30 23:45:33.009116,356202.452471810452
2025-07-30 23:45:34.008250,356203.452471812269
2025-07-30 23:45:35.012068,356204.452471814141
2025-07-30 23:45:36.011163,356205.452471808238
2025-07-30 23:45:37.011213,356206.452471809826
2025-07-30 23:45:38.010317,356207.452471812043
2025-07-30 23:45:39.009346,356208.452471814087
2025-07-30 23:45:40.009384,356209.452471808349
2025-07-30 23:45:41.012292,356210.452471810057
2025-07-30 23:45:42.011497,356211.452471812438
2025-07-30 23:45:43.011439,356212.452471806701
2025-07-30 23:45:44.010522,356213.452471808809
2025-07-30 23:45:45.009715,356214.452471810962
2025-07-30 23:45:46.009629,356215.452471813292
2025-07-30 23:45:47.008659,356216.452471807501
2025-07-30 23:45:48.012589,356217.452471809203
2025-07-30 23:45:49.011660,356218.452471811536
2025-07-30 23:45:50.010738,356219.452471813573
2025-07-30 23:45:51.010832,356220.452471807951
2025-07-30 23:45:52.009907,356221.452471809541
2025-07-30 23:45:53.008936,356222.452471811873
2025-07-30 23:45:54.008090,356223.452471813748
2025-07-30 23:45:55.011888,356224.452471808009
2025-07-30 23:45:56.011017,356225.452471809766
2025-07-30 23:45:57.011032,356226.452471811874
2025-07-30 23:45:58.010110,356227.452471813910
2025-07-30 23:45:59.009191,356228.452471808125
2025-07-30 23:46:00.009199,356229.452471810167
2025-07-30 23:46:01.012104,356230.452471811987
2025-07-30 23:46:02.011345,356231.452471806417
2025-07-30 23:46:03.011254,356232.452471808578
2025-07-30 23:46:04.010374,356233.452471810688
2025-07-30 23:46:05.009569,356234.452471812831
2025-07-30 23:46:06.009444,356235.452471807212
2025-07-30 23:46:07.008468,356236.452471809374
2025-07-30 23:46:08.012398,356237.452471811531
2025-07-30 23:46:09.011481,356238.452471813570
2025-07-30 23:46:10.010552,356239.452471807893
2025-07-30 23:46:11.010677,356240.452471809769
2025-07-30 23:46:12.009685,356241.452471811925
2025-07-30 23:46:13.008709,356242.452471814319
2025-07-30 23:46:14.012622,356243.452471808462
2025-07-30 23:46:15.011697,356244.452471810792
2025-07-30 23:46:16.010880,356245.452471812784
2025-07-30 23:46:17.010851,356246.452471807214
2025-07-30 23:46:18.009923,356247.452471809034
2025-07-30 23:46:19.008975,356248.452471811471
2025-07-30 23:46:20.008990,356249.452471813524
2025-07-30 23:46:21.011917,356250.452471807666
2025-07-30 23:46:22.011209,356251.452471809880
2025-07-30 23:46:23.011070,356252.452471811987
2025-07-30 23:46:24.010164,356253.452471806419
2025-07-30 23:46:25.009370,356254.452471808519
2025-07-30 23:46:26.009248,356255.452471810738
2025-07-30 23:46:27.012140,356256.452471813005
2025-07-30 23:46:28.012211,356257.452471807212
2025-07-30 23:46:29.011292,356258.452471809428
2025-07-30 23:46:30.010384,356259.452471811473
2025-07-30 23:46:31.010435,356260.452471813121
2025-07-30 23:46:32.009478,356261.452471807723
2025-07-30 23:46:33.008551,356262.452471809881
2025-07-30 23:46:34.012436,356263.452471812213
2025-07-30 23:46:35.011512,356264.452471806532
2025-07-30 23:46:36.010716,356265.452471808918
2025-07-30 23:46:37.010687,356266.452471811252
2025-07-30 23:46:38.009730,356267.452471813184
2025-07-30 23:46:39.008806,356268.452471807837
2025-07-30 23:46:40.008792,356269.452471810106
2025-07-30 23:46:41.011736,356270.452471812552
2025-07-30 23:46:42.011807,356271.452471806873
2025-07-30 23:46:43.010879,356272.452471809088
2025-07-30 23:46:44.009971,356273.452471811530
2025-07-30 23:46:45.009213,356274.452471805964
2025-07-30 23:46:46.009082,356275.452471808463
2025-07-30 23:46:47.011997,356276.452471810229
2025-07-30 23:46:48.012030,356277.452471812602
2025-07-30 23:46:49.011107,356278.452471807100
2025-07-30 23:46:50.010234,356279.452471809490
2025-07-30 23:46:51.010258,356280.452471811251
2025-07-30 23:46:52.009338,356281.452471806077
2025-07-30 23:46:53.008382,356282.452471808463
2025-07-30 23:46:54.012248,356283.452471810452
2025-07-30 23:46:55.011333,356284.452471805283
2025-07-30 23:46:56.010579,356285.452471807672
2025-07-30 23:46:57.010504,356286.452471809996
2025-07-30 23:46:58.009529,356287.452471812280
2025-07-30 23:46:59.008676,356288.452471807103
2025-07-30 23:47:00.012470,356289.452471809317
2025-07-30 23:47:01.011555,356290.452471811864
2025-07-30 23:47:02.011626,356291.452471806591
2025-07-30 23:47:03.010696,356292.452471809085
2025-07-30 23:47:04.009776,356293.452471811129
2025-07-30 23:47:05.009071,356294.452471806189
2025-07-30 23:47:06.008868,356295.452471808408
2025-07-30 23:47:07.011846,356296.452471811302
2025-07-30 23:47:08.011851,356297.452471805853
2025-07-30 23:47:09.010921,356298.452471808462
2025-07-30 23:47:10.010149,356299.452471811024
2025-07-30 23:47:11.010093,356300.452471805739
2025-07-30 23:47:12.009123,356301.452471808462
2025-07-30 23:47:13.008161,356302.452471810790
2025-07-30 23:47:14.012073,356303.452471805849
2025-07-30 23:47:15.011146,356304.452471808180
2025-07-30 23:47:16.010437,356305.452471811186
2025-07-30 23:47:17.010343,356306.452471805852
2025-07-30 23:47:18.009358,356307.452471808577
2025-07-30 23:47:19.008486,356308.452471811131
2025-07-30 23:47:20.012291,356309.452471805909
2025-07-30 23:47:21.011364,356310.452471808691
2025-07-30 23:47:22.011444,356311.452471811303
2025-07-30 23:47:23.010558,356312.452471805795
2025-07-30 23:47:24.009597,356313.452471808406
2025-07-30 23:47:25.009632,356314.452471810906
2025-07-30 23:47:26.008662,356315.452471805740
2025-07-30 23:47:27.011711,356316.452471808124
2025-07-30 23:47:28.011665,356317.452471810898
2025-07-30 23:47:29.010732,356318.452471805905
2025-07-30 23:47:30.009947,356319.452471808577
2025-07-30 23:47:31.009877,356320.452471811075
2025-07-30 23:47:32.008909,356321.452471805906
2025-07-30 23:47:33.012813,356322.452471808520
2025-07-30 23:47:34.011884,356323.452471811016
2025-07-30 23:47:35.010962,356324.452471806192
2025-07-30 23:47:36.011041,356325.452471808750
2025-07-30 23:47:37.010116,356326.452471811649
2025-07-30 23:47:38.009147,356327.452471806415
2025-07-30 23:47:39.008310,356328.452471808971
2025-07-30 23:47:40.012105,356329.452471811983
2025-07-30 23:47:41.011208,356330.452471806815
2025-07-30 23:47:42.011256,356331.452471809314
2025-07-30 23:47:43.010358,356332.452471812211
2025-07-30 23:47:44.009398,356333.452471807270
2025-07-30 23:47:45.009429,356334.452471809994
2025-07-30 23:47:46.008466,356335.452471812609
2025-07-30 23:47:47.011555,356336.452471807895
2025-07-30 23:47:48.011478,356337.452471810738
2025-07-30 23:47:49.010556,356338.452471806306
2025-07-30 23:47:50.009803,356339.452471809201
2025-07-30 23:47:51.009704,356340.452471811873
2025-07-30 23:47:52.008741,356341.452471807156
2025-07-30 23:47:53.012624,356342.452471810221
2025-07-30 23:47:54.011700,356343.452471813010
2025-07-30 23:47:55.010776,356344.452471808121
2025-07-30 23:47:56.010919,356345.452471811194
2025-07-30 23:47:57.009961,356346.452471806705
2025-07-30 23:47:58.008985,356347.452471809656
2025-07-30 23:47:59.008182,356348.452471812955
2025-07-30 23:48:00.011920,356349.452471808243
2025-07-30 23:48:01.011076,356350.452471811137
2025-07-30 23:48:02.011071,356351.452471806869
2025-07-30 23:48:03.010201,356352.452471810280
2025-07-30 23:48:04.009249,356353.452471813295
2025-07-30 23:48:05.009279,356354.452471808863
2025-07-30 23:48:06.012147,356355.452471812210
2025-07-30 23:48:07.011400,356356.452471807444
2025-07-30 23:48:08.011298,356357.452471810510
2025-07-30 23:48:09.010373,356358.452471813684
2025-07-30 23:48:10.009602,356359.452471809369
2025-07-30 23:48:11.009489,356360.452471812941
2025-07-30 23:48:12.008515,356361.452471808519
2025-07-30 23:48:13.012440,356362.452471811926
2025-07-30 23:48:14.011512,356363.452471807379
2025-07-30 23:48:15.010594,356364.452471810793
2025-07-30 23:48:16.010686,356365.452471814137
2025-07-30 23:48:17.009763,356366.452471809708
2025-07-30 23:48:18.008781,356367.452471813066
2025-07-30 23:48:19.012663,356368.452471808520
2025-07-30 23:48:20.011733,356369.452471811756
2025-07-30 23:48:21.010919,356370.452471807664
2025-07-30 23:48:22.010891,356371.452471810903
2025-07-30 23:48:23.009973,356372.452471814316
2025-07-30 23:48:24.009079,356373.452471810109
2025-07-30 23:48:25.009057,356374.452471813634
2025-07-30 23:48:26.011961,356375.452471809597
2025-07-30 23:48:27.011248,356376.452471813070
2025-07-30 23:48:28.011112,356377.452471808917
2025-07-30 23:48:29.010216,356378.452471812437
2025-07-30 23:48:30.009421,356379.452471808064
2025-07-30 23:48:31.009292,356380.452471811760
2025-07-30 23:48:32.008320,356381.452471815222
2025-07-30 23:48:33.012256,356382.452471810853
2025-07-30 23:48:34.011330,356383.452471814655
2025-07-30 23:48:35.010417,356384.452471810393
2025-07-30 23:48:36.010529,356385.452471814137
2025-07-30 23:48:37.009533,356386.452471809828
2025-07-30 23:48:38.008572,356387.452471813740
2025-07-30 23:48:39.012470,356388.452471809208
2025-07-30 23:48:40.011550,356389.452471812830
2025-07-30 23:48:41.010756,356390.452471808575
2025-07-30 23:48:42.010736,356391.452471812101
2025-07-30 23:48:43.009769,356392.452471815677
2025-07-30 23:48:44.008862,356393.452471811707
2025-07-30 23:48:45.008847,356394.452471815269
2025-07-30 23:48:46.011779,356395.452471811252
2025-07-30 23:48:47.011849,356396.452471814940
2025-07-30 23:48:48.010919,356397.452471810908
2025-07-30 23:48:49.010013,356398.452471814767
2025-07-30 23:48:50.009284,356399.452471810678
2025-07-30 23:48:51.009109,356400.452471814432
2025-07-30 23:48:52.012024,356401.452471810336
2025-07-30 23:48:53.012072,356402.452471813912
2025-07-30 23:48:54.011147,356403.452471809772
2025-07-30 23:48:55.010277,356404.452471813294
2025-07-30 23:48:56.010311,356405.452471809258
2025-07-30 23:48:57.009379,356406.452471813180
2025-07-30 23:48:58.008405,356407.452471809200
2025-07-30 23:48:59.012307,356408.452471813008
2025-07-30 23:49:00.011368,356409.452471808916
2025-07-30 23:49:01.010613,356410.452471812666
2025-07-30 23:49:02.010563,356411.452471808745
2025-07-30 23:49:03.009575,356412.452471812832
2025-07-30 23:49:04.008694,356413.452471808519
2025-07-30 23:49:05.008654,356414.452471812042
2025-07-30 23:49:06.011583,356415.452471815619
2025-07-30 23:49:07.011665,356416.452471811302
2025-07-30 23:49:08.010737,356417.452471815215
2025-07-30 23:49:09.009825,356418.452471811302
2025-07-30 23:49:10.009078,356419.452471814879
2025-07-30 23:49:11.008897,356420.452471811127
2025-07-30 23:49:12.011869,356421.452471814762
2025-07-30 23:49:13.011886,356422.452471811128
2025-07-30 23:49:14.010967,356423.452471814872
2025-07-30 23:49:15.010178,356424.452471810736
2025-07-30 23:49:16.010111,356425.452471814603
2025-07-30 23:49:17.009149,356426.452471810738
2025-07-30 23:49:18.008174,356427.452471814817
2025-07-30 23:49:19.012104,356428.452471810840
2025-07-30 23:49:20.011199,356429.452471814822
2025-07-30 23:49:21.010463,356430.452471810966
2025-07-30 23:49:22.010363,356431.452471814930
2025-07-30 23:49:23.009387,356432.452471811133
2025-07-30 23:49:24.008537,356433.452471814988
2025-07-30 23:49:25.012324,356434.452471810904
2025-07-30 23:49:26.011402,356435.452471814828
