ppsHostClock,ppsRefClock
2025-07-30 23:42:28.013538,356017.452471806197
2025-07-30 23:42:29.012806,356018.452471810620
2025-07-30 23:42:30.012757,356019.452471807361
2025-07-30 23:42:31.011831,356020.452471812119
2025-07-30 23:42:32.011104,356021.452471808407
2025-07-30 23:42:33.014677,356022.452471812171
2025-07-30 23:42:34.013759,356023.452471809294
2025-07-30 23:42:35.013838,356024.452471806084
2025-07-30 23:42:36.012919,356025.452471810297
2025-07-30 23:42:37.012060,356026.452471807691
2025-07-30 23:42:38.012123,356027.452471812005
2025-07-30 23:42:39.011205,356028.452471808911
2025-07-30 23:42:40.013988,356029.452471805700
2025-07-30 23:42:41.014059,356030.452471809960
2025-07-30 23:42:42.013137,356031.452471807082
2025-07-30 23:42:43.012330,356032.452471811402
2025-07-30 23:42:44.012352,356033.452471808304
2025-07-30 23:42:45.011422,356034.452471813173
2025-07-30 23:42:46.010663,356035.452471809628
2025-07-30 23:42:47.014279,356036.452471806915
2025-07-30 23:42:48.013361,356037.452471811897
2025-07-30 23:42:49.013432,356038.452471808800
2025-07-30 23:42:50.012576,356039.452471805977
2025-07-30 23:42:51.011686,356040.452471810292
2025-07-30 23:42:52.011743,356041.452471807912
2025-07-30 23:42:53.014494,356042.452471812228
2025-07-30 23:42:54.013578,356043.452471809795
2025-07-30 23:42:55.013657,356044.452471807024
2025-07-30 23:42:56.012734,356045.452471812500
2025-07-30 23:42:57.011915,356046.452471809293
2025-07-30 23:42:58.011943,356047.452471806642
2025-07-30 23:42:59.011022,356048.452471811566
2025-07-30 23:43:00.013853,356049.452471808911
2025-07-30 23:43:01.013878,356050.452471805757
2025-07-30 23:43:02.012955,356051.452471810344
2025-07-30 23:43:03.012236,356052.452471807804
2025-07-30 23:43:04.012170,356053.452471812224
2025-07-30 23:43:05.011274,356054.452471809570
2025-07-30 23:43:06.014166,356055.452471806582
2025-07-30 23:43:07.014094,356056.452471811450
2025-07-30 23:43:08.013186,356057.452471808743
2025-07-30 23:43:09.013262,356058.452471805812
2025-07-30 23:43:10.012384,356059.452471810342
2025-07-30 23:43:11.011463,356060.452471807190
2025-07-30 23:43:12.011526,356061.452471812058
2025-07-30 23:43:13.014310,356062.452471808681
2025-07-30 23:43:14.013404,356063.452471805477
2025-07-30 23:43:15.013473,356064.452471810293
2025-07-30 23:43:16.012590,356065.452471806809
2025-07-30 23:43:17.011747,356066.452471810905
2025-07-30 23:43:18.011762,356067.452471807134
2025-07-30 23:43:19.010841,356068.452471810572
2025-07-30 23:43:20.013720,356069.452471807467
2025-07-30 23:43:21.013709,356070.452471812003
2025-07-30 23:43:22.012771,356071.452471808301
2025-07-30 23:43:23.012089,356072.452471812617
2025-07-30 23:43:24.011976,356073.452471809069
2025-07-30 23:43:25.011041,356074.452471813389
2025-07-30 23:43:26.014044,356075.452471809573
2025-07-30 23:43:27.013919,356076.452471805976
2025-07-30 23:43:28.013003,356077.452471810179
2025-07-30 23:43:29.013080,356078.452471806691
2025-07-30 23:43:30.012182,356079.452471810570
2025-07-30 23:43:31.011264,356080.452471807304
2025-07-30 23:43:32.011338,356081.452471811676
2025-07-30 23:43:33.014131,356082.452471807969
2025-07-30 23:43:34.013278,356083.452471812558
2025-07-30 23:43:35.013295,356084.452471808794
2025-07-30 23:43:36.012408,356085.452471812174
2025-07-30 23:43:37.011613,356086.452471808739
2025-07-30 23:43:38.011548,356087.452471812893
2025-07-30 23:43:39.014358,356088.452471808851
2025-07-30 23:43:40.013598,356089.452471812948
2025-07-30 23:43:41.013517,356090.452471808353
2025-07-30 23:43:42.012598,356091.452471811950
2025-07-30 23:43:43.012700,356092.452471807638
2025-07-30 23:43:44.011815,356093.452471811062
2025-07-30 23:43:45.010878,356094.452471806747
2025-07-30 23:43:46.014645,356095.452471809573
2025-07-30 23:43:47.013732,356096.452471813279
2025-07-30 23:43:48.012816,356097.452471808412
2025-07-30 23:43:49.012935,356098.452471810903
2025-07-30 23:43:50.012000,356099.452471813066
2025-07-30 23:43:51.011107,356100.452471807468
2025-07-30 23:43:52.011144,356101.452471808685
2025-07-30 23:43:53.013945,356102.452471810462
2025-07-30 23:43:54.013146,356103.452471812951
2025-07-30 23:43:55.013113,356104.452471807633
2025-07-30 23:43:56.012216,356105.452471809681
2025-07-30 23:43:57.011477,356106.452471811891
2025-07-30 23:43:58.011382,356107.452471806087
2025-07-30 23:43:59.014170,356108.452471808244
2025-07-30 23:44:00.013453,356109.452471810462
2025-07-30 23:44:01.013335,356110.452471812285
2025-07-30 23:44:02.012403,356111.452471806362
2025-07-30 23:44:03.012516,356112.452471808297
2025-07-30 23:44:04.011695,356113.452471810511
2025-07-30 23:44:05.010696,356114.452471812893
2025-07-30 23:44:06.014465,356115.452471806916
2025-07-30 23:44:07.013560,356116.452471809017
2025-07-30 23:44:08.012685,356117.452471811391
2025-07-30 23:44:09.012751,356118.452471805867
2025-07-30 23:44:10.011868,356119.452471807964
2025-07-30 23:44:11.011021,356120.452471810290
2025-07-30 23:44:12.014694,356121.452471812280
2025-07-30 23:44:13.013774,356122.452471807024
2025-07-30 23:44:14.013022,356123.452471809462
2025-07-30 23:44:15.012930,356124.452471812058
2025-07-30 23:44:16.012028,356125.452471806805
2025-07-30 23:44:17.011359,356126.452471809295
2025-07-30 23:44:18.011218,356127.452471811943
2025-07-30 23:44:19.013994,356128.452471806748
2025-07-30 23:44:20.014075,356129.452471809124
2025-07-30 23:44:21.013159,356130.452471812284
2025-07-30 23:44:22.012255,356131.452471807247
2025-07-30 23:44:23.012333,356132.452471810238
2025-07-30 23:44:24.011432,356133.452471804868
2025-07-30 23:44:25.014205,356134.452471807581
2025-07-30 23:44:26.014290,356135.452471809960
2025-07-30 23:44:27.013370,356136.452471805146
2025-07-30 23:44:28.012544,356137.452471807799
2025-07-30 23:44:29.012572,356138.452471810120
2025-07-30 23:44:30.011629,356139.452471804813
2025-07-30 23:44:31.010830,356140.452471807635
2025-07-30 23:44:32.014505,356141.452471810129
2025-07-30 23:44:33.013588,356142.452471804756
2025-07-30 23:44:34.012877,356143.452471807467
2025-07-30 23:44:35.012796,356144.452471810291
2025-07-30 23:44:36.011859,356145.452471805144
2025-07-30 23:44:37.011943,356146.452471808137
2025-07-30 23:44:38.011008,356147.452471810946
2025-07-30 23:44:39.013811,356148.452471805978
2025-07-30 23:44:40.013887,356149.452471808904
2025-07-30 23:44:41.012963,356150.452471811842
2025-07-30 23:44:42.012127,356151.452471806858
2025-07-30 23:44:43.012157,356152.452471809792
2025-07-30 23:44:44.011248,356153.452471804811
2025-07-30 23:44:45.014043,356154.452471807522
2025-07-30 23:44:46.014108,356155.452471810403
2025-07-30 23:44:47.013198,356156.452471805477
2025-07-30 23:44:48.012408,356157.452471808523
2025-07-30 23:44:49.012418,356158.452471811455
2025-07-30 23:44:50.011602,356159.452471806526
2025-07-30 23:44:51.010810,356160.452471809459
2025-07-30 23:44:52.014338,356161.452471804538
2025-07-30 23:44:53.013420,356162.452471807692
2025-07-30 23:44:54.013491,356163.452471810515
2025-07-30 23:44:55.012655,356164.452471805584
2025-07-30 23:44:56.011871,356165.452471808190
2025-07-30 23:44:57.011905,356166.452471810682
2025-07-30 23:44:58.014550,356167.452471805644
2025-07-30 23:44:59.013638,356168.452471808020
2025-07-30 23:45:00.013730,356169.452471810234
2025-07-30 23:45:01.012793,356170.452471804315
2025-07-30 23:45:02.011988,356171.452471806138
2025-07-30 23:45:03.012113,356172.452471808185
2025-07-30 23:45:04.011160,356173.452471810291
2025-07-30 23:45:05.013926,356174.452471804702
2025-07-30 23:45:06.013939,356175.452471806749
2025-07-30 23:45:07.013015,356176.452471808573
2025-07-30 23:45:08.012403,356177.452471810350
2025-07-30 23:45:09.012337,356178.452471804923
2025-07-30 23:45:10.011364,356179.452471806914
2025-07-30 23:45:11.010637,356180.452471808297
2025-07-30 23:45:12.014156,356181.452471809789
2025-07-30 23:45:13.013244,356182.452471811614
2025-07-30 23:45:14.013313,356183.452471805310
2025-07-30 23:45:15.012543,356184.452471806694
2025-07-30 23:45:16.011656,356185.452471808247
2025-07-30 23:45:17.011588,356186.452471809568
2025-07-30 23:45:18.014372,356187.452471809900
2025-07-30 23:45:19.013478,356188.452471810785
2025-07-30 23:45:20.013532,356189.452471811671
2025-07-30 23:45:21.012609,356190.452471804647
2025-07-30 23:45:22.011910,356191.452471805308
2025-07-30 23:45:23.011941,356192.452471805861
2025-07-30 23:45:24.010926,356193.452471806585
2025-07-30 23:45:25.013798,356194.452471806864
2025-07-30 23:45:26.013750,356195.452471807247
2025-07-30 23:45:27.012827,356196.452471807579
2025-07-30 23:45:28.013081,356197.452471808198
2025-07-30 23:45:29.012124,356198.452471808189
2025-07-30 23:45:30.011263,356199.452471808297
2025-07-30 23:45:31.014890,356200.452471808245
2025-07-30 23:45:32.013972,356201.452471808075
2025-07-30 23:45:33.013048,356202.452471807687
2025-07-30 23:45:34.013131,356203.452471807141
2025-07-30 23:45:35.012330,356204.452471806916
2025-07-30 23:45:36.011432,356205.452471806858
2025-07-30 23:45:37.011476,356206.452471806530
2025-07-30 23:45:38.014191,356207.452471806420
2025-07-30 23:45:39.013347,356208.452471806473
2025-07-30 23:45:40.013346,356209.452471806417
2025-07-30 23:45:41.012556,356210.452471806194
2025-07-30 23:45:42.011760,356211.452471806251
2025-07-30 23:45:43.011694,356212.452471806582
2025-07-30 23:45:44.010846,356213.452471806306
2025-07-30 23:45:45.013666,356214.452471806307
2025-07-30 23:45:46.013561,356215.452471806361
2025-07-30 23:45:47.012637,356216.452471806469
2025-07-30 23:45:48.012774,356217.452471806360
2025-07-30 23:45:49.011826,356218.452471806084
2025-07-30 23:45:50.010923,356219.452471806086
2025-07-30 23:45:51.014696,356220.452471806082
2025-07-30 23:45:52.013783,356221.452471806195
2025-07-30 23:45:53.012886,356222.452471806196
2025-07-30 23:45:54.012934,356223.452471806531
2025-07-30 23:45:55.012082,356224.452471806695
2025-07-30 23:45:56.011200,356225.452471806748
2025-07-30 23:45:57.011210,356226.452471807030
2025-07-30 23:45:58.013995,356227.452471807521
2025-07-30 23:45:59.013223,356228.452471807911
2025-07-30 23:46:00.013160,356229.452471808247
2025-07-30 23:46:01.012311,356230.452471808578
2025-07-30 23:46:02.011528,356231.452471808795
2025-07-30 23:46:03.011432,356232.452471809957
2025-07-30 23:46:04.014217,356233.452471810621
2025-07-30 23:46:05.014299,356234.452471810785
2025-07-30 23:46:06.013380,356235.452471811947
2025-07-30 23:46:07.012452,356236.452471804314
2025-07-30 23:46:08.012579,356237.452471804646
2025-07-30 23:46:09.011666,356238.452471805366
2025-07-30 23:46:10.010737,356239.452471806027
2025-07-30 23:46:11.014518,356240.452471806860
2025-07-30 23:46:12.013594,356241.452471807467
2025-07-30 23:46:13.012750,356242.452471808523
2025-07-30 23:46:14.012811,356243.452471809350
2025-07-30 23:46:15.011883,356244.452471809954
2025-07-30 23:46:16.011063,356245.452471810727
2025-07-30 23:46:17.014730,356246.452471811899
2025-07-30 23:46:18.013807,356247.452471804867
2025-07-30 23:46:19.013060,356248.452471805699
2025-07-30 23:46:20.012970,356249.452471806583
2025-07-30 23:46:21.012095,356250.452471807912
2025-07-30 23:46:22.011394,356251.452471808853
2025-07-30 23:46:23.011250,356252.452471809791
2025-07-30 23:46:24.014030,356253.452471811121
2025-07-30 23:46:25.014106,356254.452471811284
2025-07-30 23:46:26.013190,356255.452471805256
2025-07-30 23:46:27.012320,356256.452471806414
2025-07-30 23:46:28.012390,356257.452471807689
2025-07-30 23:46:29.011465,356258.452471808517
2025-07-30 23:46:30.010559,356259.452471809293
2025-07-30 23:46:31.014329,356260.452471810344
2025-07-30 23:46:32.013422,356261.452471811509
2025-07-30 23:46:33.012604,356262.452471804758
2025-07-30 23:46:34.012626,356263.452471805922
2025-07-30 23:46:35.011692,356264.452471807081
2025-07-30 23:46:36.010898,356265.452471808574
2025-07-30 23:46:37.014555,356266.452471809679
2025-07-30 23:46:38.013633,356267.452471810622
2025-07-30 23:46:39.012925,356268.452471811336
2025-07-30 23:46:40.012785,356269.452471805034
2025-07-30 23:46:41.011917,356270.452471805806
2025-07-30 23:46:42.011983,356271.452471806198
2025-07-30 23:46:43.011058,356272.452471806361
2025-07-30 23:46:44.013852,356273.452471806636
2025-07-30 23:46:45.013926,356274.452471806864
2025-07-30 23:46:46.013010,356275.452471807024
2025-07-30 23:46:47.012182,356276.452471807080
2025-07-30 23:46:48.012210,356277.452471807579
2025-07-30 23:46:49.011291,356278.452471808024
2025-07-30 23:46:50.014094,356279.452471807800
2025-07-30 23:46:51.014150,356280.452471807686
2025-07-30 23:46:52.013237,356281.452471807579
2025-07-30 23:46:53.012467,356282.452471807472
2025-07-30 23:46:54.012424,356283.452471807135
2025-07-30 23:46:55.011635,356284.452471806306
2025-07-30 23:46:56.010840,356285.452471805477
2025-07-30 23:46:57.014375,356286.452471804759
2025-07-30 23:46:58.013461,356287.452471804041
2025-07-30 23:46:59.013537,356288.452471811559
