hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-07-30 23:02:54.189187,2377,344556000,0.0,-1625,1,1,2,0,0,15,3
2025-07-30 23:02:55.187685,2377,344557000,0.0,1462,1,1,2,0,0,15,3
2025-07-30 23:02:56.187224,2377,344558000,0.0,-3286,1,1,2,0,0,15,3
2025-07-30 23:02:57.186382,2377,344559000,0.0,283,1,1,2,0,0,15,3
2025-07-30 23:02:58.185735,2377,344560000,0.0,3307,1,1,2,0,0,15,3
2025-07-30 23:02:59.185132,2377,344561000,0.0,-692,1,1,2,0,0,15,3
2025-07-30 23:03:00.183607,2377,344562000,0.0,2054,1,1,2,0,0,15,3
2025-07-30 23:03:01.183284,2377,344563000,0.0,-2792,1,1,2,0,0,15,3
2025-07-30 23:03:02.181040,2377,344564000,0.0,1262,1,1,2,0,0,15,3
2025-07-30 23:03:03.182655,2377,344565000,0.0,-3382,1,1,2,0,0,15,3
2025-07-30 23:03:04.179363,2377,344566000,0.0,-876,1,1,2,0,0,15,3
2025-07-30 23:03:05.179676,2377,344567000,0.0,2321,1,1,2,0,0,15,3
2025-07-30 23:03:06.179017,2377,344568000,0.0,-2545,1,1,2,0,0,15,3
2025-07-30 23:03:07.178441,2377,344569000,0.0,462,1,1,2,0,0,15,3
2025-07-30 23:03:08.176567,2377,344570000,0.0,3630,1,1,2,0,0,15,3
2025-07-30 23:03:09.175895,2377,344571000,0.0,-1126,1,1,2,0,0,15,3
2025-07-30 23:03:10.175290,2377,344572000,0.0,1576,1,1,2,0,0,15,3
2025-07-30 23:03:11.175009,2377,344573000,0.0,-3420,1,1,2,0,0,15,3
2025-07-30 23:03:12.172942,2377,344574000,0.0,-666,1,1,2,0,0,15,3
2025-07-30 23:03:13.173487,2377,344575000,0.0,2578,1,1,2,0,0,15,3
2025-07-30 23:03:14.172839,2377,344576000,0.0,-2512,1,1,2,0,0,15,3
2025-07-30 23:03:15.172366,2377,344577000,0.0,-208,1,1,2,0,0,15,3
2025-07-30 23:03:16.169716,2377,344578000,0.0,2439,1,1,2,0,0,15,3
2025-07-30 23:03:17.170262,2377,344579000,0.0,-2310,1,1,2,0,0,15,3
2025-07-30 23:03:18.167887,2377,344580000,0.0,597,1,1,2,0,0,15,3
2025-07-30 23:03:19.167825,2377,344581000,0.0,3664,1,1,2,0,0,15,3
2025-07-30 23:03:20.167137,2377,344582000,0.0,-1257,1,1,2,0,0,15,3
2025-07-30 23:03:21.166903,2377,344583000,0.0,1649,1,1,2,0,0,15,3
2025-07-30 23:03:22.165187,2377,344584000,0.0,-2904,1,1,2,0,0,15,3
2025-07-30 23:03:23.165638,2377,344585000,0.0,-297,1,1,2,0,0,15,3
2025-07-30 23:03:24.163264,2377,344586000,0.0,2522,1,1,2,0,0,15,3
2025-07-30 23:03:25.163983,2377,344587000,0.0,-2145,1,1,2,0,0,15,3
2025-07-30 23:03:26.162094,2377,344588000,0.0,961,1,1,2,0,0,15,3
2025-07-30 23:03:27.161771,2377,344589000,0.0,3546,1,1,2,0,0,15,3
2025-07-30 23:03:28.161317,2377,344590000,0.0,-1305,1,1,2,0,0,15,3
2025-07-30 23:03:29.159387,2377,344591000,0.0,2326,1,1,2,0,0,15,3
2025-07-30 23:03:30.159363,2377,344592000,0.0,-2133,1,1,2,0,0,15,3
2025-07-30 23:03:31.158986,2377,344593000,0.0,471,1,1,2,0,0,15,3
2025-07-30 23:03:32.157994,2377,344594000,0.0,3671,1,1,2,0,0,15,3
2025-07-30 23:03:33.156026,2377,344595000,0.0,-531,1,1,2,0,0,15,3
2025-07-30 23:03:34.156198,2377,344596000,0.0,2310,1,1,2,0,0,15,3
2025-07-30 23:03:35.156560,2377,344597000,0.0,-1565,1,1,2,0,0,15,3
2025-07-30 23:03:36.154326,2377,344598000,0.0,2252,1,1,2,0,0,15,3
2025-07-30 23:03:37.155494,2377,344599000,0.0,-1758,1,1,2,0,0,15,3
2025-07-30 23:03:38.152852,2377,344600000,0.0,2387,1,1,2,0,0,15,3
2025-07-30 23:03:39.152137,2377,344601000,0.0,-2257,1,1,2,0,0,15,3
2025-07-30 23:03:40.152395,2377,344602000,0.0,1045,1,1,2,0,0,15,3
2025-07-30 23:03:41.151107,2377,344603000,0.0,-3336,1,1,2,0,0,15,3
2025-07-30 23:03:42.150293,2377,344604000,0.0,318,1,1,2,0,0,15,3
2025-07-30 23:03:43.149367,2377,344605000,0.0,-3846,1,1,2,0,0,15,3
2025-07-30 23:03:44.147338,2377,344606000,0.0,-226,1,1,2,0,0,15,3
2025-07-30 23:03:45.148274,2377,344607000,0.0,3640,1,1,2,0,0,15,3
2025-07-30 23:03:46.147384,2377,344608000,0.0,-473,1,1,2,0,0,15,3
2025-07-30 23:03:47.145330,2377,344609000,0.0,3042,1,1,2,0,0,15,3
2025-07-30 23:03:48.145364,2377,344610000,0.0,-1181,1,1,2,0,0,15,3
2025-07-30 23:03:49.144330,2377,344611000,0.0,2176,1,1,2,0,0,15,3
2025-07-30 23:03:50.142496,2377,344612000,0.0,-2093,1,1,2,0,0,15,3
2025-07-30 23:03:51.142515,2377,344613000,0.0,1591,1,1,2,0,0,15,3
2025-07-30 23:03:52.142425,2377,344614000,0.0,-2697,1,1,2,0,0,15,3
2025-07-30 23:03:53.141765,2377,344615000,0.0,773,1,1,2,0,0,15,3
2025-07-30 23:03:54.141313,2377,344616000,0.0,-3404,1,1,2,0,0,15,3
2025-07-30 23:03:55.139828,2377,344617000,0.0,706,1,1,2,0,0,15,3
2025-07-30 23:03:56.139396,2377,344618000,0.0,-3371,1,1,2,0,0,15,3
2025-07-30 23:03:57.137266,2377,344619000,0.0,712,1,1,2,0,0,15,3
2025-07-30 23:03:58.137193,2377,344620000,0.0,-3359,1,1,2,0,0,15,3
2025-07-30 23:03:59.136906,2377,344621000,0.0,779,1,1,2,0,0,15,3
2025-07-30 23:04:00.134082,2377,344622000,0.0,-2459,1,1,2,0,0,15,3
2025-07-30 23:04:01.134462,2377,344623000,0.0,1669,1,1,2,0,0,15,3
2025-07-30 23:04:02.133597,2377,344624000,0.0,-1704,1,1,2,0,0,15,3
2025-07-30 23:04:03.132862,2377,344625000,0.0,2953,1,1,2,0,0,15,3
2025-07-30 23:04:04.132009,2377,344626000,0.0,-853,1,1,2,0,0,15,3
2025-07-30 23:04:05.132022,2377,344627000,0.0,-3956,1,1,2,0,0,15,3
2025-07-30 23:04:06.130117,2377,344628000,0.0,1111,1,1,2,0,0,15,3
2025-07-30 23:04:07.130190,2377,344629000,0.0,-1878,1,1,2,0,0,15,3
2025-07-30 23:04:08.129605,2377,344630000,0.0,-3620,1,1,2,0,0,15,3
2025-07-30 23:04:09.128391,2377,344631000,0.0,2013,1,1,2,0,0,15,3
2025-07-30 23:04:10.126630,2377,344632000,0.0,7,1,1,2,0,0,15,3
2025-07-30 23:04:11.126575,2377,344633000,0.0,-1490,1,1,2,0,0,15,3
2025-07-30 23:04:12.125600,2377,344634000,0.0,-3185,1,1,2,0,0,15,3
2025-07-30 23:04:13.125206,2377,344635000,0.0,2288,1,1,2,0,0,15,3
2025-07-30 23:04:14.125014,2377,344636000,0.0,-798,1,1,2,0,0,15,3
2025-07-30 23:04:15.122471,2377,344637000,0.0,-3077,1,1,2,0,0,15,3
2025-07-30 23:04:16.122580,2377,344638000,0.0,3085,1,1,2,0,0,15,3
2025-07-30 23:04:17.122502,2377,344639000,0.0,1042,1,1,2,0,0,15,3
2025-07-30 23:04:18.119793,2377,344640000,0.0,-829,1,1,2,0,0,15,3
2025-07-30 23:04:19.120148,2377,344641000,0.0,-3630,1,1,2,0,0,15,3
2025-07-30 23:04:20.120547,2377,344642000,0.0,1945,1,1,2,0,0,15,3
