ppsHostClock,ppsRefClock
2025-07-28 19:31:20.346347,168149.452471814741
2025-07-28 19:31:21.011228,168150.452471819497
2025-07-28 19:31:22.011262,168151.452471816441
2025-07-28 19:31:23.014183,168152.452471821145
2025-07-28 19:31:24.013391,168153.452471818101
2025-07-28 19:31:25.013330,168154.452471815032
2025-07-28 19:31:26.012415,168155.452471819731
2025-07-28 19:31:27.011602,168156.452471816603
2025-07-28 19:31:28.011511,168157.452471813667
2025-07-28 19:31:29.010546,168158.452471818528
2025-07-28 19:31:30.014486,168159.452471815485
2025-07-28 19:31:31.013566,168160.452471820413
2025-07-28 19:31:32.012641,168161.452471817462
2025-07-28 19:31:33.012757,168162.452471814573
2025-07-28 19:31:34.011800,168163.452471819162
2025-07-28 19:31:35.010805,168164.452471816332
2025-07-28 19:31:36.014714,168165.452471813386
2025-07-28 19:31:37.013794,168166.452471818370
2025-07-28 19:31:38.012914,168167.452471815424
2025-07-28 19:31:39.012941,168168.452471820358
2025-07-28 19:31:40.012017,168169.452471817582
2025-07-28 19:31:41.011057,168170.452471814683
2025-07-28 19:31:42.011095,168171.452471819508
2025-07-28 19:31:43.014017,168172.452471816614
2025-07-28 19:31:44.013250,168173.452471821545
2025-07-28 19:31:45.013181,168174.452471818433
2025-07-28 19:31:46.012261,168175.452471815479
2025-07-28 19:31:47.011420,168176.452471820641
2025-07-28 19:31:48.011343,168177.452471817697
2025-07-28 19:31:49.010379,168178.452471814974
2025-07-28 19:31:50.014316,168179.452471820004
2025-07-28 19:31:51.013395,168180.452471816898
2025-07-28 19:31:52.012473,168181.452471821884
2025-07-28 19:31:53.012563,168182.452471818883
2025-07-28 19:31:54.011595,168183.452471815817
2025-07-28 19:31:55.010631,168184.452471820642
2025-07-28 19:31:56.014544,168185.452471817692
2025-07-28 19:31:57.013622,168186.452471814689
2025-07-28 19:31:58.012763,168187.452471819564
2025-07-28 19:31:59.012800,168188.452471816451
2025-07-28 19:32:00.011828,168189.452471821041
2025-07-28 19:32:01.010931,168190.452471818202
2025-07-28 19:32:02.010917,168191.452471815246
2025-07-28 19:32:03.013851,168192.452471820246
2025-07-28 19:32:04.013099,168193.452471817131
2025-07-28 19:32:05.013001,168194.452471821949
2025-07-28 19:32:06.012091,168195.452471818938
2025-07-28 19:32:07.011242,168196.452471815766
2025-07-28 19:32:08.011210,168197.452471820469
2025-07-28 19:32:09.014105,168198.452471817357
2025-07-28 19:32:10.014173,168199.452471814170
2025-07-28 19:32:11.013255,168200.452471819221
2025-07-28 19:32:12.012318,168201.452471816225
2025-07-28 19:32:13.012419,168202.452471821152
2025-07-28 19:32:14.011442,168203.452471818259
2025-07-28 19:32:15.010454,168204.452471815372
2025-07-28 19:32:16.014386,168205.452471820311
2025-07-28 19:32:17.013489,168206.452471817406
2025-07-28 19:32:18.012630,168207.452471814515
2025-07-28 19:32:19.012626,168208.452471819339
2025-07-28 19:32:20.011668,168209.452471816723
2025-07-28 19:32:21.010701,168210.452471813775
2025-07-28 19:32:22.014607,168211.452471818709
2025-07-28 19:32:23.013691,168212.452471815705
2025-07-28 19:32:24.012963,168213.452471820538
2025-07-28 19:32:25.012841,168214.452471817806
2025-07-28 19:32:26.011924,168215.452471814967
2025-07-28 19:32:27.011096,168216.452471819859
2025-07-28 19:32:28.010990,168217.452471816788
2025-07-28 19:32:29.013923,168218.452471821832
2025-07-28 19:32:30.013993,168219.452471818884
2025-07-28 19:32:31.013074,168220.452471816155
2025-07-28 19:32:32.012165,168221.452471821278
2025-07-28 19:32:33.012210,168222.452471818328
2025-07-28 19:32:34.011249,168223.452471815702
2025-07-28 19:32:35.010275,168224.452471820809
2025-07-28 19:32:36.014217,168225.452471817966
2025-07-28 19:32:37.013305,168226.452471815258
2025-07-28 19:32:38.012480,168227.452471820309
2025-07-28 19:32:39.012450,168228.452471817414
2025-07-28 19:32:40.011485,168229.452471814690
2025-07-28 19:32:41.010538,168230.452471819957
2025-07-28 19:32:42.014450,168231.452471817186
2025-07-28 19:32:43.013518,168232.452471814353
2025-07-28 19:32:44.013603,168233.452471819167
2025-07-28 19:32:45.012707,168234.452471816445
2025-07-28 19:32:46.011743,168235.452471821361
2025-07-28 19:32:47.010967,168236.452471818830
2025-07-28 19:32:48.010838,168237.452471815884
2025-07-28 19:32:49.013762,168238.452471820866
2025-07-28 19:32:50.013838,168239.452471818263
2025-07-28 19:32:51.012903,168240.452471815481
2025-07-28 19:32:52.012019,168241.452471820699
2025-07-28 19:32:53.012049,168242.452471817811
2025-07-28 19:32:54.011082,168243.452471822795
2025-07-28 19:32:55.014110,168244.452471820015
2025-07-28 19:32:56.014063,168245.452471817350
2025-07-28 19:32:57.013135,168246.452471822401
2025-07-28 19:32:58.012351,168247.452471819843
2025-07-28 19:32:59.012277,168248.452471817302
2025-07-28 19:33:00.011317,168249.452471822406
2025-07-28 19:33:01.010414,168250.452471819837
2025-07-28 19:33:02.014290,168251.452471817521
2025-07-28 19:33:03.013365,168252.452471822631
2025-07-28 19:33:04.013447,168253.452471820116
2025-07-28 19:33:05.012549,168254.452471817522
2025-07-28 19:33:06.011574,168255.452471822675
2025-07-28 19:33:07.010780,168256.452471820122
2025-07-28 19:33:08.014505,168257.452471817696
2025-07-28 19:33:09.013621,168258.452471822678
2025-07-28 19:33:10.013655,168259.452471820241
2025-07-28 19:33:11.012736,168260.452471817405
2025-07-28 19:33:12.011830,168261.452471822570
2025-07-28 19:33:13.011885,168262.452471819957
2025-07-28 19:33:14.010907,168263.452471817240
2025-07-28 19:33:15.013956,168264.452471822384
2025-07-28 19:33:16.013915,168265.452471819843
2025-07-28 19:33:17.012964,168266.452471817188
2025-07-28 19:33:18.012223,168267.452471822683
2025-07-28 19:33:19.012140,168268.452471820352
2025-07-28 19:33:20.011167,168269.452471817925
2025-07-28 19:33:21.010204,168270.452471823365
2025-07-28 19:33:22.014112,168271.452471821152
2025-07-28 19:33:23.013200,168272.452471818992
2025-07-28 19:33:24.013275,168273.452471816967
2025-07-28 19:33:25.012344,168274.452471822461
2025-07-28 19:33:26.011385,168275.452471820303
2025-07-28 19:33:27.010579,168276.452471817860
2025-07-28 19:33:28.014334,168277.452471823645
2025-07-28 19:33:29.013466,168278.452471821329
2025-07-28 19:33:30.013494,168279.452471819058
2025-07-28 19:33:31.012594,168280.452471816720
2025-07-28 19:33:32.011653,168281.452471822056
2025-07-28 19:33:33.011662,168282.452471819625
2025-07-28 19:33:34.010699,168283.452471817117
2025-07-28 19:33:35.013824,168284.452471822569
2025-07-28 19:33:36.013717,168285.452471820309
2025-07-28 19:33:37.012794,168286.452471818034
2025-07-28 19:33:38.012052,168287.452471823356
2025-07-28 19:33:39.011931,168288.452471821099
2025-07-28 19:33:40.010952,168289.452471818883
2025-07-28 19:33:41.014876,168290.452471824152
2025-07-28 19:33:42.013952,168291.452471821841
2025-07-28 19:33:43.013029,168292.452471819563
2025-07-28 19:33:44.013115,168293.452471825064
2025-07-28 19:33:45.012184,168294.452471822909
2025-07-28 19:33:46.011210,168295.452471820531
2025-07-28 19:33:47.010431,168296.452471818487
2025-07-28 19:33:48.014176,168297.452471823935
2025-07-28 19:33:49.013320,168298.452471821608
2025-07-28 19:33:50.013328,168299.452471819332
2025-07-28 19:33:51.012424,168300.452471825070
2025-07-28 19:33:52.011503,168301.452471822856
2025-07-28 19:33:53.011493,168302.452471820924
2025-07-28 19:33:54.014401,168303.452471818888
2025-07-28 19:33:55.013675,168304.452471824446
2025-07-28 19:33:56.013550,168305.452471822337
2025-07-28 19:33:57.012639,168306.452471820125
2025-07-28 19:33:58.011872,168307.452471818095
2025-07-28 19:33:59.011770,168308.452471823706
2025-07-28 19:34:00.010802,168309.452471821426
2025-07-28 19:34:01.014717,168310.452471819159
2025-07-28 19:34:02.013775,168311.452471825238
2025-07-28 19:34:03.012855,168312.452471823026
2025-07-28 19:34:04.012964,168313.452471820979
2025-07-28 19:34:05.011993,168314.452471819165
2025-07-28 19:34:06.011037,168315.452471824722
2025-07-28 19:34:07.010249,168316.452471822789
2025-07-28 19:34:08.014005,168317.452471820760
