hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-07-28 19:31:26.076450,2377,156687000,0.0,397,1,1,2,0,0,15,3
2025-07-28 19:31:27.076488,2377,156688000,0.0,3470,1,1,2,0,0,15,3
2025-07-28 19:31:28.076508,2377,156689000,0.0,-1307,1,1,2,0,0,15,3
2025-07-28 19:31:29.072557,2377,156690000,0.0,1295,1,1,2,0,0,15,3
2025-07-28 19:31:30.070627,2377,156691000,0.0,-3265,1,1,2,0,0,15,3
2025-07-28 19:31:31.077660,2377,156692000,0.0,-518,1,1,2,0,0,15,3
2025-07-28 19:31:32.071848,2377,156693000,0.0,2312,1,1,2,0,0,15,3
2025-07-28 19:31:33.075923,2377,156694000,0.0,-2287,1,1,2,0,0,15,3
2025-07-28 19:31:34.074753,2377,156695000,0.0,472,1,1,2,0,0,15,3
2025-07-28 19:31:35.074962,2377,156696000,0.0,3613,1,1,2,0,0,15,3
2025-07-28 19:31:36.071827,2377,156697000,0.0,-1207,1,1,2,0,0,15,3
2025-07-28 19:31:37.075909,2377,156698000,0.0,1555,1,1,2,0,0,15,3
2025-07-28 19:31:38.071957,2377,156699000,0.0,-3523,1,1,2,0,0,15,3
2025-07-28 19:31:39.071978,2377,156700000,0.0,-640,1,1,2,0,0,15,3
2025-07-28 19:31:40.078998,2377,156701000,0.0,2524,1,1,2,0,0,15,3
2025-07-28 19:31:41.072032,2377,156702000,0.0,-2427,1,1,2,0,0,15,3
2025-07-28 19:31:42.075193,2377,156703000,0.0,739,1,1,2,0,0,15,3
2025-07-28 19:31:43.072195,2377,156704000,0.0,-3962,1,1,2,0,0,15,3
2025-07-28 19:31:44.077191,2377,156705000,0.0,-891,1,1,2,0,0,15,3
2025-07-28 19:31:45.074213,2377,156706000,0.0,2268,1,1,2,0,0,15,3
2025-07-28 19:31:46.078310,2377,156707000,0.0,-2894,1,1,2,0,0,15,3
2025-07-28 19:31:47.072338,2377,156708000,0.0,190,1,1,2,0,0,15,3
2025-07-28 19:31:48.071324,2377,156709000,0.0,2907,1,1,2,0,0,15,3
2025-07-28 19:31:49.077369,2377,156710000,0.0,-2136,1,1,2,0,0,15,3
2025-07-28 19:31:50.072412,2377,156711000,0.0,775,1,1,2,0,0,15,3
2025-07-28 19:31:51.075508,2377,156712000,0.0,-3709,1,1,2,0,0,15,3
2025-07-28 19:31:52.075522,2377,156713000,0.0,-630,1,1,2,0,0,15,3
2025-07-28 19:31:53.072549,2377,156714000,0.0,2550,1,1,2,0,0,15,3
2025-07-28 19:31:54.075584,2377,156715000,0.0,-2597,1,1,2,0,0,15,3
2025-07-28 19:31:55.079596,2377,156716000,0.0,558,1,1,2,0,0,15,3
