ppsHostClock,ppsRefClock
2025-07-28 22:04:47.889750,177356.452471822786
2025-07-28 22:04:47.890744,177356.452471822786
2025-07-28 22:04:48.017726,177357.452471826182
2025-07-28 22:04:49.017809,177358.452471821974
2025-07-28 22:04:50.016883,177359.452471825323
2025-07-28 22:04:51.015963,177360.452471821306
2025-07-28 22:04:52.016036,177361.452471824650
2025-07-28 22:04:53.015060,177362.452471828111
2025-07-28 22:04:54.014116,177363.452471824069
2025-07-28 22:04:55.018044,177364.452471827412
2025-07-28 22:04:56.017115,177365.452471822883
2025-07-28 22:04:57.016254,177366.452471826405
2025-07-28 22:04:58.016276,177367.452471822026
2025-07-28 22:04:59.015362,177368.452471825612
2025-07-28 22:05:00.014390,177369.452471820897
2025-07-28 22:05:01.014431,177370.452471824470
2025-07-28 22:05:02.017339,177371.452471827699
2025-07-28 22:05:03.016605,177372.452471823174
2025-07-28 22:05:04.016494,177373.452471826570
2025-07-28 22:05:05.015572,177374.452471821913
2025-07-28 22:05:06.014754,177375.452471825224
2025-07-28 22:05:07.014641,177376.452471828554
2025-07-28 22:05:08.017568,177377.452471823957
2025-07-28 22:05:09.017648,177378.452471827193
2025-07-28 22:05:10.016724,177379.452471822535
2025-07-28 22:05:11.015813,177380.452471825763
2025-07-28 22:05:12.015847,177381.452471829247
2025-07-28 22:05:13.014888,177382.452471824746
2025-07-28 22:05:14.013935,177383.452471828047
2025-07-28 22:05:15.017870,177384.452471823320
2025-07-28 22:05:16.016945,177385.452471826626
2025-07-28 22:05:17.016128,177386.452471822252
2025-07-28 22:05:18.016113,177387.452471825446
2025-07-28 22:05:19.015148,177388.452471828880
2025-07-28 22:05:20.014197,177389.452471824176
2025-07-28 22:05:21.018092,177390.452471827548
2025-07-28 22:05:22.017177,177391.452471822764
2025-07-28 22:05:23.016468,177392.452471826015
2025-07-28 22:05:24.016336,177393.452471829131
2025-07-28 22:05:25.015411,177394.452471824355
2025-07-28 22:05:26.014587,177395.452471827648
2025-07-28 22:05:27.014462,177396.452471830891
2025-07-28 22:05:28.017416,177397.452471826417
2025-07-28 22:05:29.017488,177398.452471829633
2025-07-28 22:05:30.016563,177399.452471825098
2025-07-28 22:05:31.015656,177400.452471828169
2025-07-28 22:05:32.015726,177401.452471823614
2025-07-28 22:05:33.014769,177402.452471826806
2025-07-28 22:05:34.017777,177403.452471830150
2025-07-28 22:05:35.017716,177404.452471825554
2025-07-28 22:05:36.016791,177405.452471828839
2025-07-28 22:05:37.016009,177406.452471824470
2025-07-28 22:05:38.015943,177407.452471827810
2025-07-28 22:05:39.014990,177408.452471823347
2025-07-28 22:05:40.014046,177409.452471826521
2025-07-28 22:05:41.017936,177410.452471829772
2025-07-28 22:05:42.017015,177411.452471825211
2025-07-28 22:05:43.017092,177412.452471828445
2025-07-28 22:05:44.016202,177413.452471824008
2025-07-28 22:05:45.015230,177414.452471827434
2025-07-28 22:05:46.014450,177415.452471823173
2025-07-28 22:05:47.014316,177416.452471826515
2025-07-28 22:05:48.017301,177417.452471829941
2025-07-28 22:05:49.017328,177418.452471825311
2025-07-28 22:05:50.016403,177419.452471828614
2025-07-28 22:05:51.015543,177420.452471824406
2025-07-28 22:05:52.015553,177421.452471827421
2025-07-28 22:05:53.014558,177422.452471822878
2025-07-28 22:05:54.017654,177423.452471826230
2025-07-28 22:05:55.017556,177424.452471829421
2025-07-28 22:05:56.016631,177425.452471824696
2025-07-28 22:05:57.015888,177426.452471827925
2025-07-28 22:05:58.015781,177427.452471823284
2025-07-28 22:05:59.014811,177428.452471826514
2025-07-28 22:06:00.013912,177429.452471829811
2025-07-28 22:06:01.017788,177430.452471825140
2025-07-28 22:06:02.016861,177431.452471828402
2025-07-28 22:06:03.016934,177432.452471823908
2025-07-28 22:06:04.016031,177433.452471827546
2025-07-28 22:06:05.015062,177434.452471823045
2025-07-28 22:06:06.014309,177435.452471826225
2025-07-28 22:06:07.018009,177436.452471829516
2025-07-28 22:06:08.017192,177437.452471824981
2025-07-28 22:06:09.017176,177438.452471828275
2025-07-28 22:06:10.016247,177439.452471823621
