hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-10-06 06:55:45.797930,2387,335616000,0.0,3749,1,1,1,0,0,15,3
2025-10-06 06:55:46.797973,2387,335617000,0.0,-1032,1,1,1,0,0,15,3
2025-10-06 06:55:47.798895,2387,335618000,0.0,3000,1,1,1,0,0,15,3
2025-10-06 06:55:48.797053,2387,335619000,0.0,-2224,1,1,1,0,0,15,3
2025-10-06 06:55:49.797922,2387,335620000,0.0,677,1,1,1,0,0,15,3
2025-10-06 06:55:50.797043,2387,335621000,0.0,3359,1,1,1,0,0,15,3
2025-10-06 06:55:51.797948,2387,335622000,0.0,169,1,1,1,0,0,15,3
2025-10-06 06:55:52.798975,2387,335623000,0.0,-3472,1,1,1,0,0,15,3
2025-10-06 07:13:02.788053,2387,336653000,0.0,-3881,1,1,1,0,0,15,3
2025-10-06 07:13:03.789116,2387,336654000,0.0,3267,1,1,1,0,0,15,3
2025-10-06 07:13:12.788170,2387,336663000,0.0,2950,1,1,1,0,0,15,3
2025-10-06 07:13:13.789196,2387,336664000,0.0,1687,1,1,1,0,0,15,3
2025-10-06 07:13:14.789186,2387,336665000,0.0,3034,1,1,1,0,0,15,3
2025-10-06 07:13:15.788205,2387,336666000,0.0,2862,1,1,1,0,0,15,3
2025-10-06 07:13:16.790217,2387,336667000,0.0,2166,1,1,1,0,0,15,3
2025-10-06 07:13:17.789224,2387,336668000,0.0,2367,1,1,1,0,0,15,3
2025-10-06 07:13:18.788241,2387,336669000,0.0,1110,1,1,1,0,0,15,3
2025-10-06 07:13:19.789242,2387,336670000,0.0,-3754,1,1,1,0,0,15,3
2025-10-06 07:13:20.789285,2387,336671000,0.0,-351,1,1,1,0,0,15,3
2025-10-06 07:13:21.790268,2387,336672000,0.0,-93,1,1,1,0,0,15,3
2025-10-06 07:13:22.789283,2387,336673000,0.0,-3794,1,1,1,0,0,15,3
2025-10-06 07:13:23.789305,2387,336674000,0.0,-1970,1,1,1,0,0,15,3
2025-10-06 07:13:24.789336,2387,336675000,0.0,232,1,1,1,0,0,15,3
2025-10-06 07:13:25.789326,2387,336676000,0.0,3451,1,1,1,0,0,15,3
2025-10-06 07:13:26.788427,2387,336677000,0.0,-1709,1,1,1,0,0,15,3
2025-10-06 07:13:27.787452,2387,336678000,0.0,-1078,1,1,1,0,0,15,3
2025-10-06 07:13:28.788477,2387,336679000,0.0,-1395,1,1,1,0,0,15,3
2025-10-06 07:13:29.788466,2387,336680000,0.0,1923,1,1,1,0,0,15,3
2025-10-06 07:13:30.788419,2387,336681000,0.0,777,1,1,1,0,0,15,3
2025-10-06 07:13:31.790446,2387,336682000,0.0,2654,1,1,1,0,0,15,3
2025-10-06 07:13:32.790430,2387,336683000,0.0,-1590,1,1,1,0,0,15,3
2025-10-06 07:13:33.788443,2387,336684000,0.0,-875,1,1,1,0,0,15,3
2025-10-06 07:13:34.788481,2387,336685000,0.0,1297,1,1,1,0,0,15,3
2025-10-06 07:13:35.788462,2387,336686000,0.0,-3270,1,1,1,0,0,15,3
2025-10-06 07:13:36.788497,2387,336687000,0.0,1526,1,1,1,0,0,15,3
2025-10-06 07:13:37.788460,2387,336688000,0.0,-218,1,1,1,0,0,15,3
2025-10-06 07:13:38.787525,2387,336689000,0.0,-1706,1,1,1,0,0,15,3
2025-10-06 07:13:39.789526,2387,336690000,0.0,202,1,1,1,0,0,15,3
2025-10-06 07:13:40.788540,2387,336691000,0.0,3287,1,1,1,0,0,15,3
2025-10-06 07:13:41.787597,2387,336692000,0.0,2060,1,1,1,0,0,15,3
2025-10-06 07:13:42.787569,2387,336693000,0.0,-839,1,1,1,0,0,15,3
2025-10-06 07:13:51.788779,2387,336702000,0.0,-1694,1,1,1,0,0,15,3
2025-10-06 07:13:52.788785,2387,336703000,0.0,-2104,1,1,1,0,0,15,3
2025-10-06 07:13:53.789793,2387,336704000,0.0,-3816,1,1,1,0,0,15,3
2025-10-06 07:13:54.787787,2387,336705000,0.0,-3687,1,1,1,0,0,15,3
2025-10-06 07:13:55.788820,2387,336706000,0.0,-3266,1,1,1,0,0,15,3
2025-10-06 07:13:56.788829,2387,336707000,0.0,-2746,1,1,1,0,0,15,3
2025-10-06 07:13:57.788833,2387,336708000,0.0,-807,1,1,1,0,0,15,3
2025-10-06 07:13:58.788860,2387,336709000,0.0,-3985,1,1,1,0,0,15,3
2025-10-06 07:13:59.787905,2387,336710000,0.0,2666,1,1,1,0,0,15,3
2025-10-06 07:14:00.788939,2387,336711000,0.0,-2581,1,1,1,0,0,15,3
2025-10-06 07:14:01.788017,2387,336712000,0.0,1174,1,1,1,0,0,15,3
2025-10-06 07:14:02.787931,2387,336713000,0.0,3224,1,1,1,0,0,15,3
2025-10-06 07:14:03.788949,2387,336714000,0.0,-1710,1,1,1,0,0,15,3
2025-10-06 07:14:04.788999,2387,336715000,0.0,2346,1,1,1,0,0,15,3
2025-10-06 07:14:05.786988,2387,336716000,0.0,594,1,1,1,0,0,15,3
2025-10-06 07:14:06.788989,2387,336717000,0.0,-76,1,1,1,0,0,15,3
2025-10-06 07:14:07.788007,2387,336718000,0.0,-1903,1,1,1,0,0,15,3
2025-10-06 07:14:08.787999,2387,336719000,0.0,3211,1,1,1,0,0,15,3
2025-10-06 07:14:09.787015,2387,336720000,0.0,1567,1,1,1,0,0,15,3
2025-10-06 07:15:24.786259,2387,336795000,0.0,2776,1,1,1,0,0,15,3
2025-10-06 07:15:25.787230,2387,336796000,0.0,3267,1,1,1,0,0,15,3
2025-10-06 07:15:26.787247,2387,336797000,0.0,-1401,1,1,1,0,0,15,3
2025-10-06 07:15:27.788264,2387,336798000,0.0,-3844,1,1,1,0,0,15,3
2025-10-06 07:15:28.787260,2387,336799000,0.0,-3928,1,1,1,0,0,15,3
2025-10-06 07:15:29.787282,2387,336800000,0.0,-3052,1,1,1,0,0,15,3
2025-10-06 07:15:30.787297,2387,336801000,0.0,-2981,1,1,1,0,0,15,3
2025-10-06 07:15:31.788288,2387,336802000,0.0,248,1,1,1,0,0,15,3
2025-10-06 07:15:32.787338,2387,336803000,0.0,-3394,1,1,1,0,0,15,3
2025-10-06 07:15:33.790316,2387,336804000,0.0,527,1,1,1,0,0,15,3
2025-10-06 07:15:34.788313,2387,336805000,0.0,2675,1,1,1,0,0,15,3
2025-10-06 07:15:35.787322,2387,336806000,0.0,-801,1,1,1,0,0,15,3
2025-10-06 07:15:36.787353,2387,336807000,0.0,2240,1,1,1,0,0,15,3
2025-10-06 07:15:37.786356,2387,336808000,0.0,1813,1,1,1,0,0,15,3
2025-10-06 07:15:51.786641,2387,336822000,0.0,-1043,1,1,1,0,0,15,3
2025-10-06 07:15:52.787645,2387,336823000,0.0,2671,1,1,1,0,0,15,3
2025-10-06 07:15:53.786636,2387,336824000,0.0,-1787,1,1,1,0,0,15,3
2025-10-06 07:15:54.787671,2387,336825000,0.0,896,1,1,1,0,0,15,3
2025-10-06 07:15:55.789683,2387,336826000,0.0,1431,1,1,2,0,0,15,3
2025-10-06 07:15:56.786680,2387,336827000,0.0,1499,1,1,2,0,0,15,3
2025-10-06 07:15:57.787698,2387,336828000,0.0,2723,1,1,2,0,0,15,3
2025-10-06 07:15:58.786786,2387,336829000,0.0,3311,1,1,1,0,0,15,3
2025-10-06 07:15:59.786721,2387,336830000,0.0,1332,1,1,1,0,0,15,3
2025-10-06 07:16:00.787816,2387,336831000,0.0,-1967,1,1,1,0,0,15,3
2025-10-06 07:16:09.786913,2387,336840000,0.0,114,1,1,1,0,0,15,3
2025-10-06 07:16:10.786928,2387,336841000,0.0,2439,1,1,1,0,0,15,3
2025-10-06 07:16:19.787024,2387,336850000,0.0,3799,1,1,1,0,0,15,3
2025-10-06 07:16:20.787052,2387,336851000,0.0,-1570,1,1,1,0,0,15,3
2025-10-06 07:16:21.787054,2387,336852000,0.0,1699,1,1,1,0,0,15,3
2025-10-06 07:16:22.787052,2387,336853000,0.0,-2123,1,1,1,0,0,15,3
